,p_val,avg_log2FC,pct.1,pct.2,pct.diff,p_val_adj,cluster,gene
APOE,0,2.004473743,0.838,0.145,0.693,0,Macrophages,APOE
APOC1,0,1.943361292,0.819,0.105,0.714,0,Macrophages,APOC1
SPP1,0,1.830195855,0.78,0.187,0.593,0,Macrophages,SPP1
C1QA,0,1.764005303,0.755,0.074,0.681,0,Macrophages,C1QA
C1QC,0,1.74369459,0.725,0.043,0.682,0,Macrophages,C1QC
C1QB,0,1.720875829,0.699,0.061,0.638,0,Macrophages,C1QB
GPNMB,0,1.668805075,0.763,0.039,0.724,0,Macrophages,GPNMB
CTSB,0,1.493610271,0.944,0.319,0.625,0,Macrophages,CTSB
CD68,0,1.454415543,0.853,0.162,0.691,0,Macrophages,CD68
CTSL,0,1.451860374,0.736,0.093,0.643,0,Macrophages,CTSL
NUPR1,0,1.355141243,0.555,0.04,0.515,0,Macrophages,NUPR1
NPC2,0,1.267651312,0.958,0.374,0.584,0,Macrophages,NPC2
CTSD,0,1.243073241,0.922,0.462,0.46,0,Macrophages,CTSD
TREM2,0,1.192876101,0.614,0.025,0.589,0,Macrophages,TREM2
CD14,0,1.174912682,0.746,0.14,0.606,0,Macrophages,CD14
GRN,0,1.165728249,0.876,0.283,0.593,0,Macrophages,GRN
PSAP,0,1.147932967,0.968,0.485,0.483,0,Macrophages,PSAP
RNASE1,0,1.144706732,0.399,0.038,0.361,0,Macrophages,RNASE1
CST3,0,1.121359002,0.957,0.349,0.608,0,Macrophages,CST3
MS4A7,0,1.118026635,0.71,0.104,0.606,0,Macrophages,MS4A7
MSR1,0,1.109422041,0.598,0.034,0.564,0,Macrophages,MSR1
FCER1G,0,1.097431553,0.951,0.35,0.601,0,Macrophages,FCER1G
CSTB,0,1.074036014,0.9,0.517,0.383,0,Macrophages,CSTB
CTSZ,0,1.065238045,0.766,0.229,0.537,0,Macrophages,CTSZ
TYROBP,0,1.05888492,0.974,0.404,0.57,0,Macrophages,TYROBP
GLUL,0,1.05795809,0.908,0.348,0.56,0,Macrophages,GLUL
DAB2,0,1.055245795,0.601,0.045,0.556,0,Macrophages,DAB2
IFI30,0,1.047595462,0.744,0.199,0.545,0,Macrophages,IFI30
C15orf48,0,1.045030601,0.594,0.101,0.493,0,Macrophages,C15orf48
HLA-DRA,0,1.040588216,0.973,0.498,0.475,0,Macrophages,HLA-DRA
LYZ,0,1.033371653,0.92,0.33,0.59,0,Macrophages,LYZ
AIF1,0,1.025463656,0.861,0.262,0.599,0,Macrophages,AIF1
FCGR3A,0,1.003084242,0.709,0.139,0.57,0,Macrophages,FCGR3A
MAFB,0,1.000532848,0.639,0.089,0.55,0,Macrophages,MAFB
CD163,0,0.997344842,0.639,0.087,0.552,0,Macrophages,CD163
CD9,0,0.986302415,0.715,0.163,0.552,0,Macrophages,CD9
OLR1,0,0.983966956,0.573,0.056,0.517,0,Macrophages,OLR1
FABP5,0,0.982796057,0.667,0.194,0.473,0,Macrophages,FABP5
PLAUR,0,0.951705126,0.7,0.179,0.521,0,Macrophages,PLAUR
LIPA,0,0.949618704,0.598,0.13,0.468,0,Macrophages,LIPA
CAPG,0,0.946768004,0.844,0.342,0.502,0,Macrophages,CAPG
MS4A4A,0,0.944641498,0.568,0.054,0.514,0,Macrophages,MS4A4A
ASAH1,0,0.943529895,0.801,0.293,0.508,0,Macrophages,ASAH1
HLA-DRB1,0,0.93668022,0.935,0.507,0.428,0,Macrophages,HLA-DRB1
PLD3,0,0.931798954,0.606,0.144,0.462,0,Macrophages,PLD3
ACP5,0,0.929959758,0.574,0.149,0.425,0,Macrophages,ACP5
HLA-DRB5,0,0.92937142,0.54,0.163,0.377,0,Macrophages,HLA-DRB5
HLA-DQB1,0,0.924125037,0.84,0.346,0.494,0,Macrophages,HLA-DQB1
VSIG4,0,0.924059395,0.536,0.048,0.488,0,Macrophages,VSIG4
LGALS3,0,0.919632564,0.757,0.313,0.444,0,Macrophages,LGALS3
LGMN,0,0.918803246,0.484,0.043,0.441,0,Macrophages,LGMN
TGFBI,0,0.917794016,0.635,0.112,0.523,0,Macrophages,TGFBI
CXCL16,0,0.914641342,0.667,0.123,0.544,0,Macrophages,CXCL16
FBP1,0,0.90927302,0.506,0.102,0.404,0,Macrophages,FBP1
HLA-DQA1,0,0.905646934,0.741,0.277,0.464,0,Macrophages,HLA-DQA1
SLCO2B1,0,0.893963028,0.496,0.023,0.473,0,Macrophages,SLCO2B1
LGALS1,0,0.88879892,0.929,0.513,0.416,0,Macrophages,LGALS1
FCGRT,0,0.886703521,0.725,0.227,0.498,0,Macrophages,FCGRT
PLIN2,0,0.876422344,0.619,0.21,0.409,0,Macrophages,PLIN2
FN1,0,0.868408874,0.451,0.084,0.367,0,Macrophages,FN1
A2M,0,0.868262091,0.498,0.059,0.439,0,Macrophages,A2M
SGK1,0,0.866777667,0.652,0.157,0.495,0,Macrophages,SGK1
CCL2,0,0.862647672,0.333,0.045,0.288,0,Macrophages,CCL2
CREG1,0,0.853466774,0.606,0.111,0.495,0,Macrophages,CREG1
SLC11A1,0,0.851695176,0.665,0.156,0.509,0,Macrophages,SLC11A1
MS4A6A,0,0.850751358,0.644,0.161,0.483,0,Macrophages,MS4A6A
GSN,0,0.839347984,0.684,0.194,0.49,0,Macrophages,GSN
FCGR2A,0,0.839134051,0.702,0.164,0.538,0,Macrophages,FCGR2A
HLA-DPA1,0,0.827899003,0.901,0.529,0.372,0,Macrophages,HLA-DPA1
APLP2,0,0.826101991,0.76,0.264,0.496,0,Macrophages,APLP2
HLA-DMA,0,0.824562445,0.743,0.295,0.448,0,Macrophages,HLA-DMA
HEXB,0,0.819248695,0.648,0.167,0.481,0,Macrophages,HEXB
TIMP2,0,0.817160222,0.61,0.132,0.478,0,Macrophages,TIMP2
CXCL8,0,0.801668781,0.421,0.104,0.317,0,Macrophages,CXCL8
CD63,0,0.798972476,0.923,0.559,0.364,0,Macrophages,CD63
PMP22,0,0.785577732,0.482,0.051,0.431,0,Macrophages,PMP22
TMEM176B,0,0.784242741,0.531,0.105,0.426,0,Macrophages,TMEM176B
CTSH,0,0.782368844,0.688,0.222,0.466,0,Macrophages,CTSH
MARCO,0,0.779754663,0.328,0.029,0.299,0,Macrophages,MARCO
ANXA2,0,0.774441453,0.842,0.439,0.403,0,Macrophages,ANXA2
BRI3,0,0.773657277,0.698,0.278,0.42,0,Macrophages,BRI3
CXCL3,0,0.772708239,0.321,0.04,0.281,0,Macrophages,CXCL3
ATP6V1F,0,0.770494514,0.828,0.442,0.386,0,Macrophages,ATP6V1F
FPR3,0,0.768299017,0.468,0.035,0.433,0,Macrophages,FPR3
FCGR2B,0,0.762344256,0.474,0.093,0.381,0,Macrophages,FCGR2B
CSF1R,0,0.760424339,0.536,0.084,0.452,0,Macrophages,CSF1R
TYMP,0,0.758137946,0.868,0.389,0.479,0,Macrophages,TYMP
PLXDC2,0,0.757162313,0.56,0.105,0.455,0,Macrophages,PLXDC2
IFI6,0,0.755881863,0.637,0.273,0.364,0,Macrophages,IFI6
ANXA5,0,0.750615859,0.816,0.391,0.425,0,Macrophages,ANXA5
KCTD12,0,0.745683781,0.589,0.123,0.466,0,Macrophages,KCTD12
CD74,0,0.744296435,0.977,0.742,0.235,0,Macrophages,CD74
CYP27A1,0,0.742404973,0.382,0.027,0.355,0,Macrophages,CYP27A1
HMOX1,0,0.741706945,0.488,0.074,0.414,0,Macrophages,HMOX1
CYBB,0,0.740323728,0.595,0.145,0.45,0,Macrophages,CYBB
SAT1,0,0.735632907,0.98,0.66,0.32,0,Macrophages,SAT1
HNMT,0,0.734843303,0.54,0.076,0.464,0,Macrophages,HNMT
HLA-DPB1,0,0.732307305,0.88,0.543,0.337,0,Macrophages,HLA-DPB1
FTL,0,0.725552016,1,0.971,0.029,0,Macrophages,FTL
HLA-DMB,0,0.724325989,0.609,0.205,0.404,0,Macrophages,HLA-DMB
GSTO1,0,0.723047116,0.743,0.347,0.396,0,Macrophages,GSTO1
CTSC,0,0.720759919,0.776,0.409,0.367,0,Macrophages,CTSC
PLA2G7,0,0.718540302,0.384,0.02,0.364,0,Macrophages,PLA2G7
PRDX1,0,0.71842705,0.811,0.449,0.362,0,Macrophages,PRDX1
MMP14,0,0.711749118,0.451,0.034,0.417,0,Macrophages,MMP14
LRP1,0,0.704264608,0.469,0.066,0.403,0,Macrophages,LRP1
LILRB4,0,0.703610164,0.479,0.051,0.428,0,Macrophages,LILRB4
MFSD1,0,0.702699484,0.59,0.144,0.446,0,Macrophages,MFSD1
CXCL2,0,0.694196091,0.317,0.05,0.267,0,Macrophages,CXCL2
CD81,0,0.684154608,0.688,0.311,0.377,0,Macrophages,CD81
PLTP,0,0.680139223,0.361,0.017,0.344,0,Macrophages,PLTP
GRINA,0,0.674149098,0.595,0.17,0.425,0,Macrophages,GRINA
GM2A,0,0.6715086,0.455,0.071,0.384,0,Macrophages,GM2A
TIMP1,0,0.66822095,0.775,0.404,0.371,0,Macrophages,TIMP1
CEBPB,0,0.664575798,0.815,0.391,0.424,0,Macrophages,CEBPB
SDCBP,0,0.661854432,0.834,0.422,0.412,0,Macrophages,SDCBP
HEXA,0,0.657630657,0.567,0.169,0.398,0,Macrophages,HEXA
S100A11,0,0.657472113,0.983,0.754,0.229,0,Macrophages,S100A11
CTSA,0,0.653027594,0.65,0.245,0.405,0,Macrophages,CTSA
IGSF6,0,0.652641581,0.524,0.134,0.39,0,Macrophages,IGSF6
SPI1,0,0.646800044,0.728,0.239,0.489,0,Macrophages,SPI1
RNF130,0,0.646736029,0.661,0.21,0.451,0,Macrophages,RNF130
HSPB1,0,0.646013748,0.727,0.348,0.379,0,Macrophages,HSPB1
YWHAH,0,0.643684937,0.655,0.281,0.374,0,Macrophages,YWHAH
TPP1,0,0.643513969,0.64,0.219,0.421,0,Macrophages,TPP1
PPT1,0,0.642587074,0.663,0.249,0.414,0,Macrophages,PPT1
LY96,0,0.639813204,0.597,0.165,0.432,0,Macrophages,LY96
LAIR1,0,0.639425259,0.568,0.153,0.415,0,Macrophages,LAIR1
C3AR1,0,0.634399934,0.488,0.098,0.39,0,Macrophages,C3AR1
ARHGAP18,0,0.631090019,0.552,0.157,0.395,0,Macrophages,ARHGAP18
CTSS,0,0.62849101,0.867,0.477,0.39,0,Macrophages,CTSS
RAB31,0,0.628467115,0.569,0.142,0.427,0,Macrophages,RAB31
RNASE6,0,0.624118509,0.577,0.168,0.409,0,Macrophages,RNASE6
ATOX1,0,0.623393432,0.611,0.23,0.381,0,Macrophages,ATOX1
AP2S1,0,0.620891709,0.721,0.354,0.367,0,Macrophages,AP2S1
SLC1A3,0,0.619474911,0.397,0.033,0.364,0,Macrophages,SLC1A3
C3,0,0.611257337,0.367,0.056,0.311,0,Macrophages,C3
FCGR1A,0,0.610210044,0.457,0.064,0.393,0,Macrophages,FCGR1A
ALCAM,0,0.60972915,0.411,0.064,0.347,0,Macrophages,ALCAM
SCD,0,0.607679901,0.345,0.018,0.327,0,Macrophages,SCD
ATP6V1B2,0,0.607403789,0.611,0.183,0.428,0,Macrophages,ATP6V1B2
CD86,0,0.606739137,0.504,0.098,0.406,0,Macrophages,CD86
RAB13,0,0.606616394,0.431,0.061,0.37,0,Macrophages,RAB13
ATP6V0B,0,0.605832693,0.767,0.416,0.351,0,Macrophages,ATP6V0B
LIMS1,0,0.605573831,0.642,0.262,0.38,0,Macrophages,LIMS1
PDXK,0,0.605247384,0.488,0.12,0.368,0,Macrophages,PDXK
SCARB2,0,0.604849359,0.479,0.082,0.397,0,Macrophages,SCARB2
BLVRB,0,0.600437041,0.519,0.151,0.368,0,Macrophages,BLVRB
CPM,0,0.598674053,0.42,0.071,0.349,0,Macrophages,CPM
IL4I1,0,0.598356506,0.343,0.034,0.309,0,Macrophages,IL4I1
IFI27,0,0.594457043,0.351,0.128,0.223,0,Macrophages,IFI27
ATP6AP1,0,0.59090272,0.585,0.191,0.394,0,Macrophages,ATP6AP1
ADAM9,0,0.590228846,0.419,0.045,0.374,0,Macrophages,ADAM9
BCAT1,0,0.586615415,0.402,0.043,0.359,0,Macrophages,BCAT1
ETS2,0,0.584842211,0.528,0.146,0.382,0,Macrophages,ETS2
GNS,0,0.583955158,0.486,0.106,0.38,0,Macrophages,GNS
IFITM3,0,0.583008544,0.723,0.342,0.381,0,Macrophages,IFITM3
PLSCR1,0,0.58229383,0.602,0.186,0.416,0,Macrophages,PLSCR1
SERPINA1,0,0.581814331,0.692,0.232,0.46,0,Macrophages,SERPINA1
TMEM176A,0,0.5797451,0.416,0.072,0.344,0,Macrophages,TMEM176A
MGST3,0,0.579545192,0.646,0.315,0.331,0,Macrophages,MGST3
LAMP1,0,0.579320408,0.653,0.318,0.335,0,Macrophages,LAMP1
H2AFY,0,0.577812324,0.731,0.356,0.375,0,Macrophages,H2AFY
SMIM25,0,0.574878194,0.456,0.103,0.353,0,Macrophages,SMIM25
RNASET2,0,0.573866632,0.789,0.459,0.33,0,Macrophages,RNASET2
CFD,0,0.573409563,0.493,0.136,0.357,0,Macrophages,CFD
SLC7A7,0,0.573071688,0.467,0.08,0.387,0,Macrophages,SLC7A7
VCAN,0,0.572787646,0.413,0.116,0.297,0,Macrophages,VCAN
CLEC7A,0,0.572360836,0.573,0.154,0.419,0,Macrophages,CLEC7A
VAT1,0,0.57219614,0.388,0.055,0.333,0,Macrophages,VAT1
SLC16A3,0,0.571621649,0.644,0.234,0.41,0,Macrophages,SLC16A3
GPX4,0,0.570803929,0.82,0.526,0.294,0,Macrophages,GPX4
NRP1,0,0.569014422,0.353,0.02,0.333,0,Macrophages,NRP1
TTYH3,0,0.569006316,0.408,0.062,0.346,0,Macrophages,TTYH3
PKM,0,0.568671858,0.795,0.475,0.32,0,Macrophages,PKM
SLC16A10,0,0.564775684,0.314,0.025,0.289,0,Macrophages,SLC16A10
MGAT1,0,0.564261661,0.605,0.252,0.353,0,Macrophages,MGAT1
CORO1C,0,0.563721574,0.489,0.101,0.388,0,Macrophages,CORO1C
NPL,0,0.561683063,0.409,0.054,0.355,0,Macrophages,NPL
LHFPL2,0,0.561589389,0.377,0.029,0.348,0,Macrophages,LHFPL2
ABCA1,0,0.560605652,0.382,0.059,0.323,0,Macrophages,ABCA1
LAMP2,0,0.558529948,0.571,0.188,0.383,0,Macrophages,LAMP2
SDC2,0,0.555603435,0.296,0.02,0.276,0,Macrophages,SDC2
LGALS3BP,0,0.55424677,0.399,0.074,0.325,0,Macrophages,LGALS3BP
SCPEP1,0,0.551921857,0.495,0.147,0.348,0,Macrophages,SCPEP1
NINJ1,0,0.551159119,0.508,0.153,0.355,0,Macrophages,NINJ1
SLC15A3,0,0.548974158,0.417,0.067,0.35,0,Macrophages,SLC15A3
FNIP2,0,0.543581931,0.376,0.056,0.32,0,Macrophages,FNIP2
ADM,0,0.543546478,0.367,0.083,0.284,0,Macrophages,ADM
GAA,0,0.541067578,0.435,0.083,0.352,0,Macrophages,GAA
RAB20,0,0.539010304,0.401,0.05,0.351,0,Macrophages,RAB20
SIRPA,0,0.537798412,0.485,0.098,0.387,0,Macrophages,SIRPA
RNF13,0,0.535593364,0.589,0.216,0.373,0,Macrophages,RNF13
RAC1,0,0.534409049,0.848,0.528,0.32,0,Macrophages,RAC1
SOAT1,0,0.533726902,0.448,0.102,0.346,0,Macrophages,SOAT1
PLAU,0,0.532672985,0.351,0.032,0.319,0,Macrophages,PLAU
PILRA,0,0.532485962,0.457,0.094,0.363,0,Macrophages,PILRA
GPR34,0,0.531580578,0.352,0.054,0.298,0,Macrophages,GPR34
C1orf162,0,0.530267416,0.683,0.29,0.393,0,Macrophages,C1orf162
ATF5,0,0.530236011,0.332,0.057,0.275,0,Macrophages,ATF5
ALDH2,0,0.529779346,0.464,0.125,0.339,0,Macrophages,ALDH2
CCDC88A,0,0.526825127,0.498,0.148,0.35,0,Macrophages,CCDC88A
CANX,0,0.526651644,0.662,0.306,0.356,0,Macrophages,CANX
CPVL,0,0.5261918,0.449,0.105,0.344,0,Macrophages,CPVL
CLEC5A,0,0.523986548,0.332,0.036,0.296,0,Macrophages,CLEC5A
IFNGR2,0,0.522940879,0.58,0.201,0.379,0,Macrophages,IFNGR2
STAB1,0,0.522548553,0.323,0.053,0.27,0,Macrophages,STAB1
FOLR2,0,0.520346749,0.236,0.02,0.216,0,Macrophages,FOLR2
IDH1,0,0.519762424,0.409,0.081,0.328,0,Macrophages,IDH1
IFNGR1,0,0.518235392,0.68,0.295,0.385,0,Macrophages,IFNGR1
C5AR1,0,0.517646801,0.481,0.117,0.364,0,Macrophages,C5AR1
S100A10,0,0.516704477,0.907,0.679,0.228,0,Macrophages,S100A10
SDS,0,0.51302307,0.25,0.017,0.233,0,Macrophages,SDS
ATP1B3,0,0.512855747,0.593,0.256,0.337,0,Macrophages,ATP1B3
ADAP2,0,0.512646561,0.371,0.049,0.322,0,Macrophages,ADAP2
SELENOP,0,0.512192462,0.201,0.022,0.179,0,Macrophages,SELENOP
MT2A,0,0.510750777,0.749,0.507,0.242,0,Macrophages,MT2A
