names	scores	logfoldchanges	pvals	pvals_adj	cluster
C1QC	198.30562	8.150598	0.0	0.0	Macro_C1QC
C1QB	184.23607	7.7783012	0.0	0.0	Macro_C1QC
C1QA	176.0403	7.1092696	0.0	0.0	Macro_C1QC
APOE	111.70296	7.12357	0.0	0.0	Macro_C1QC
CD74	103.76035	1.688897	0.0	0.0	Macro_C1QC
DAB2	101.40348	5.114707	0.0	0.0	Macro_C1QC
A2M	94.339386	4.791111	0.0	0.0	Macro_C1QC
SLCO2B1	93.1252	4.812576	0.0	0.0	Macro_C1QC
MS4A6A	91.621796	3.0445833	0.0	0.0	Macro_C1QC
HLA-DQA1	89.178566	3.070543	0.0	0.0	Macro_C1QC
CTSD	89.11412	2.7642715	0.0	0.0	Macro_C1QC
HLA-DPA1	88.11676	1.9809332	0.0	0.0	Macro_C1QC
CTSB	88.011826	1.9314754	0.0	0.0	Macro_C1QC
FTL	87.7504	0.9859464	0.0	0.0	Macro_C1QC
APOC1	86.56925	5.3137336	0.0	0.0	Macro_C1QC
CD14	86.114075	3.5232158	0.0	0.0	Macro_C1QC
HLA-DQB1	84.11594	2.8249505	0.0	0.0	Macro_C1QC
PLD3	83.49614	3.8069081	0.0	0.0	Macro_C1QC
HLA-DPB1	83.41236	2.0150833	0.0	0.0	Macro_C1QC
PLTP	82.83579	4.9744196	0.0	0.0	Macro_C1QC
LGMN	82.60639	4.1996446	0.0	0.0	Macro_C1QC
HLA-DRA	81.954445	1.6992941	0.0	0.0	Macro_C1QC
HLA-DMA	81.42379	2.4201508	0.0	0.0	Macro_C1QC
CD68	79.05046	1.7705498	0.0	0.0	Macro_C1QC
FOLR2	78.578545	5.044201	0.0	0.0	Macro_C1QC
CREG1	77.18071	3.3025725	0.0	0.0	Macro_C1QC
FCGR2A	77.02529	2.7688603	0.0	0.0	Macro_C1QC
SEPP1	76.489815	5.7196665	0.0	0.0	Macro_C1QC
GPX1	76.437485	2.1721199	0.0	0.0	Macro_C1QC
GPR34	75.61935	4.2959332	0.0	0.0	Macro_C1QC
TREM2	74.98954	4.232415	0.0	0.0	Macro_C1QC
SLC40A1	74.189064	4.688334	0.0	0.0	Macro_C1QC
HLA-DRB1	74.02363	1.5305004	0.0	0.0	Macro_C1QC
MS4A4A	73.8299	3.5268164	0.0	0.0	Macro_C1QC
CD63	72.662895	2.0425417	0.0	0.0	Macro_C1QC
MSR1	71.9878	3.566844	0.0	0.0	Macro_C1QC
STAB1	71.07229	3.9293392	0.0	0.0	Macro_C1QC
RNASE1	70.74238	5.3544836	0.0	0.0	Macro_C1QC
GPNMB	70.702644	4.3528223	0.0	0.0	Macro_C1QC
NPC2	70.259186	1.2025179	0.0	0.0	Macro_C1QC
AKR1B1	68.04973	3.1914415	0.0	0.0	Macro_C1QC
MRC1	67.986404	3.8543177	0.0	0.0	Macro_C1QC
RGS1	67.90544	3.4797935	0.0	0.0	Macro_C1QC
CD81	67.49583	3.3276951	0.0	0.0	Macro_C1QC
HLA-DMB	67.47513	2.6643744	0.0	0.0	Macro_C1QC
CTSC	67.426315	2.5059144	0.0	0.0	Macro_C1QC
GSN	66.36352	2.7480836	0.0	0.0	Macro_C1QC
CTSL	65.88419	3.0322232	0.0	0.0	Macro_C1QC
PTMS	64.84004	3.0812478	0.0	0.0	Macro_C1QC
LGALS3BP	64.82978	3.6599023	0.0	0.0	Macro_C1QC
SERPING1	62.94207	3.4739285	0.0	0.0	Macro_C1QC
ARHGAP18	62.90511	2.8778167	0.0	0.0	Macro_C1QC
TMEM176A	62.152115	3.0109103	0.0	0.0	Macro_C1QC
YWHAH	60.811924	2.7012694	0.0	0.0	Macro_C1QC
TMEM176B	60.15007	2.6376374	0.0	0.0	Macro_C1QC
GAL3ST4	60.029976	4.6203337	0.0	0.0	Macro_C1QC
FCGRT	59.984795	1.8177807	0.0	0.0	Macro_C1QC
FCGR3A	59.485287	2.7548537	0.0	0.0	Macro_C1QC
F13A1	59.30902	3.4221423	0.0	0.0	Macro_C1QC
HEXA	58.947845	2.74534	0.0	0.0	Macro_C1QC
CD59	57.921307	3.1583126	0.0	0.0	Macro_C1QC
FCGR1A	57.448135	2.9957886	0.0	0.0	Macro_C1QC
ADAP2	57.130825	2.848488	0.0	0.0	Macro_C1QC
CD163	56.400658	2.6845572	0.0	0.0	Macro_C1QC
SLC1A3	56.31795	3.025852	0.0	0.0	Macro_C1QC
PLAU	55.42579	3.4186265	0.0	0.0	Macro_C1QC
GAS6	54.5214	3.1182382	0.0	0.0	Macro_C1QC
MS4A7	54.48489	1.9722338	0.0	0.0	Macro_C1QC
GRN	54.19174	1.5371758	0.0	0.0	Macro_C1QC
RASSF4	53.35235	2.5606728	0.0	0.0	Macro_C1QC
MERTK	53.18853	3.2387893	0.0	0.0	Macro_C1QC
LILRB4	52.93557	2.5319521	0.0	0.0	Macro_C1QC
RNASE6	52.90807	2.4024749	0.0	0.0	Macro_C1QC
FPR3	52.68088	2.9051387	0.0	0.0	Macro_C1QC
NRP2	52.515488	3.091031	0.0	0.0	Macro_C1QC
NRP1	52.490685	3.358868	0.0	0.0	Macro_C1QC
C3AR1	52.27077	2.61973	0.0	0.0	Macro_C1QC
MMP14	51.41512	3.228774	0.0	0.0	Macro_C1QC
CSF1R	51.27163	2.0837348	0.0	0.0	Macro_C1QC
MAF	51.223442	3.3565676	0.0	0.0	Macro_C1QC
VSIG4	51.020634	2.707744	0.0	0.0	Macro_C1QC
MARCKS	49.844482	2.246938	0.0	0.0	Macro_C1QC
LPAR6	49.8269	2.8056717	0.0	0.0	Macro_C1QC
RGS10	49.550785	1.6558611	0.0	0.0	Macro_C1QC
C1orf54	49.237103	2.7975695	0.0	0.0	Macro_C1QC
LY96	49.13848	2.278552	0.0	0.0	Macro_C1QC
HSPB1	49.116394	2.355615	0.0	0.0	Macro_C1QC
ITM2B	48.885323	0.9319964	0.0	0.0	Macro_C1QC
C3	48.473362	2.920869	0.0	0.0	Macro_C1QC
CTSA	48.31376	2.2387824	0.0	0.0	Macro_C1QC
CAPG	47.08376	1.9950323	0.0	0.0	Macro_C1QC
MGAT4A	47.068768	2.4970596	0.0	0.0	Macro_C1QC
GATM	47.03116	3.0179844	0.0	0.0	Macro_C1QC
