names	scores	logfoldchanges	pvals	pvals_adj	cluster
HLA-DPB1	81.53575	2.1661007	0.0	0.0	Macro_FN1
HLA-DRA	68.72977	1.668658	0.0	0.0	Macro_FN1
OLR1	68.59517	4.9921956	0.0	0.0	Macro_FN1
CD74	68.22369	1.3769883	0.0	0.0	Macro_FN1
HLA-DPA1	61.39294	1.6399711	0.0	0.0	Macro_FN1
HLA-DMA	59.829914	2.5364494	0.0	0.0	Macro_FN1
C3	58.054394	5.9611483	0.0	0.0	Macro_FN1
HLA-DRB1	57.742065	1.3427453	0.0	0.0	Macro_FN1
CD9	55.69718	4.7296333	0.0	0.0	Macro_FN1
HLA-DRB5	55.166183	2.4955301	0.0	0.0	Macro_FN1
CEBPD	51.22436	2.5782151	0.0	0.0	Macro_FN1
LYZ	50.852352	2.3246734	0.0	0.0	Macro_FN1
MS4A6A	49.96373	2.7847404	0.0	0.0	Macro_FN1
FN1	49.854195	7.0735645	1.0019554058700109e-307	1.1253295148461382e-304	Macro_FN1
PLAUR	49.3367	2.20367	0.0	0.0	Macro_FN1
CAPG	44.568424	2.6802685	3.928936537331674e-279	3.394399684329575e-276	Macro_FN1
BTG1	41.52192	1.7213664	6.632799485097559e-253	5.1973382756017935e-250	Macro_FN1
AREG	40.68036	4.3539085	9.807500579203212e-241	7.183780967732023e-238	Macro_FN1
RPLP0	40.513325	0.7731584	4.885876596302251e-246	3.7414710462683647e-243	Macro_FN1
LSP1	39.598724	1.8523655	4.6089373942924264e-241	3.4509674791842e-238	Macro_FN1
TREM2	39.537346	4.504603	9.791477348871474e-229	6.2247931659033104e-226	Macro_FN1
CST3	38.93555	0.9188374	1.776506884874209e-230	1.1736788819402276e-227	Macro_FN1
HLA-DQB1	38.27164	2.132995	9.383221817032674e-229	6.079966844290364e-226	Macro_FN1
C5AR1	37.416313	2.7757676	1.673505657483784e-216	9.721913728148037e-214	Macro_FN1
IER3	36.88009	2.696185	3.573377324772628e-212	1.9737930423096545e-209	Macro_FN1
RPS2	36.560734	0.63754284	1.0146187589585644e-209	5.513962010379011e-207	Macro_FN1
GPR183	35.626698	3.2838874	1.0199962795640752e-199	4.9808340063234706e-197	Macro_FN1
SERPINA1	35.189365	1.5623944	1.7173005641102648e-204	8.509224295166362e-202	Macro_FN1
GPX4	35.017235	1.2854875	4.081644191198154e-199	1.9646702768318655e-196	Macro_FN1
RPS4Y1	34.679256	3.4990673	8.854216930576758e-191	4.0315403413358555e-188	Macro_FN1
APOC1	34.37404	4.6817856	3.9061147707910356e-187	1.709254949182249e-184	Macro_FN1
NPC2	34.00205	1.1505849	1.318358862973681e-188	5.922771137204694e-186	Macro_FN1
RPLP1	32.449352	0.3880518	2.1895743513393015e-175	8.782799785003146e-173	Macro_FN1
RPS10	31.923977	0.56167305	1.3018969495968045e-170	5.100711141827294e-168	Macro_FN1
HLA-DMB	31.609503	2.5334892	6.876747123573788e-167	2.6034282874347776e-164	Macro_FN1
VSIG4	31.413708	3.4016845	7.451230998445794e-164	2.7289323615394847e-161	Macro_FN1
FCGRT	31.328102	1.6393906	2.6476830351618743e-166	9.912336909638244e-164	Macro_FN1
ALDH2	31.141094	2.6803048	1.4341564674476518e-162	5.195964302600127e-160	Macro_FN1
GABARAP	31.109882	0.61641556	6.054104479812875e-166	2.2416153444265384e-163	Macro_FN1
ATP1B3	30.894066	2.2091315	1.712977212068452e-161	6.012193144107752e-159	Macro_FN1
SDS	30.504023	4.247536	5.052762923473454e-156	1.6856217222130153e-153	Macro_FN1
S100A11	30.498589	0.6253786	2.1767094791028956e-162	7.802345658392868e-160	Macro_FN1
VEGFA	30.300495	3.1257362	2.997437129016358e-155	9.901533982850704e-153	Macro_FN1
GRN	29.407063	1.5330449	3.307362157862735e-150	1.0414790705329626e-147	Macro_FN1
SORL1	29.120186	3.237072	1.7861090112189682e-145	5.325766108319638e-143	Macro_FN1
RAB31	28.904263	1.7513182	7.804240096375993e-146	2.3478220161365418e-143	Macro_FN1
PLXDC2	28.86769	2.627063	3.506326346785732e-144	1.0363347362157759e-141	Macro_FN1
CTSB	28.82202	1.1569057	4.450508434142587e-147	1.3632311925454575e-144	Macro_FN1
CXCR4	28.49879	2.5259535	7.108808535386913e-142	1.996034956594389e-139	Macro_FN1
APOE	28.27869	4.3998322	6.72018524926627e-139	1.8559829654817845e-136	Macro_FN1
HLA-A	28.270622	0.5580312	3.81547070481865e-142	1.0894785587132168e-139	Macro_FN1
PPIA	28.258827	0.55646014	7.898571277751933e-143	2.2942625916601177e-140	Macro_FN1
CTSH	27.719631	1.9093919	3.789701901173976e-136	1.0297598053077091e-133	Macro_FN1
