names	scores	logfoldchanges	pvals	pvals_adj	cluster
C1QC	142.5113	7.6785355	0.0	0.0	Macro_GPNMB
C1QA	129.63446	6.5985556	0.0	0.0	Macro_GPNMB
C1QB	124.00739	7.278795	0.0	0.0	Macro_GPNMB
CD74	110.5495	2.0158794	0.0	0.0	Macro_GPNMB
HLA-DPA1	97.7949	2.285693	0.0	0.0	Macro_GPNMB
HLA-DPB1	96.06163	2.5909004	0.0	0.0	Macro_GPNMB
APOE	96.044395	8.367981	0.0	0.0	Macro_GPNMB
HLA-DRA	94.47455	2.201398	0.0	0.0	Macro_GPNMB
TREM2	94.21757	6.527359	0.0	0.0	Macro_GPNMB
APOC1	83.813866	7.1502542	0.0	0.0	Macro_GPNMB
HLA-DQB1	78.07398	3.2161481	0.0	0.0	Macro_GPNMB
HLA-DRB1	76.46201	1.7657197	0.0	0.0	Macro_GPNMB
A2M	73.345085	5.461956	0.0	0.0	Macro_GPNMB
NPC2	70.880936	1.3642977	0.0	0.0	Macro_GPNMB
CD9	68.03189	4.7938714	0.0	0.0	Macro_GPNMB
HLA-DQA1	67.51673	2.9591722	0.0	0.0	Macro_GPNMB
CTSD	64.53801	2.7766702	0.0	0.0	Macro_GPNMB
HLA-DMA	64.47016	2.7281246	0.0	0.0	Macro_GPNMB
CTSB	62.36549	1.7321488	0.0	0.0	Macro_GPNMB
CD68	60.76141	1.712819	0.0	0.0	Macro_GPNMB
RGS1	60.376842	4.117404	0.0	0.0	Macro_GPNMB
CD63	59.72707	2.068965	0.0	0.0	Macro_GPNMB
HLA-DMB	58.66261	3.2098117	0.0	0.0	Macro_GPNMB
CAPG	58.50424	2.9412053	0.0	0.0	Macro_GPNMB
GSN	57.362755	3.3438764	0.0	0.0	Macro_GPNMB
C3	56.273285	5.141128	0.0	0.0	Macro_GPNMB
AKR1B1	55.983624	3.9608316	0.0	0.0	Macro_GPNMB
YWHAH	55.356644	3.4984689	0.0	0.0	Macro_GPNMB
PLD4	52.99497	4.308529	0.0	0.0	Macro_GPNMB
HLA-DRB5	51.92567	2.641768	0.0	0.0	Macro_GPNMB
MS4A6A	50.23793	2.6191046	0.0	0.0	Macro_GPNMB
CTSZ	50.016075	2.4990525	0.0	0.0	Macro_GPNMB
GRN	49.47417	1.793311	0.0	0.0	Macro_GPNMB
GPNMB	48.089504	4.8980618	0.0	0.0	Macro_GPNMB
RGS10	46.356934	1.996104	0.0	0.0	Macro_GPNMB
CST3	46.263287	0.9106787	0.0	0.0	Macro_GPNMB
CTSC	45.742516	2.339049	0.0	0.0	Macro_GPNMB
ITM2B	44.518948	1.0559068	0.0	0.0	Macro_GPNMB
CTSH	44.220158	2.2834947	3.36e-322	1.52973e-319	Macro_GPNMB
HEXA	42.732983	3.1536589	1.611841743687599e-299	6.874607052127843e-297	Macro_GPNMB
CD81	41.863438	3.2887838	1.6040696088592e-289	6.755940175112735e-287	Macro_GPNMB
SDS	41.829742	4.466695	6.190174624530772e-287	2.5435578512065834e-284	Macro_GPNMB
