names	scores	logfoldchanges	pvals	pvals_adj	cluster
HLA-DPB1	158.25098	2.8320336	0.0	0.0	Macro_IL1B
HLA-DRA	146.79192	2.3952143	0.0	0.0	Macro_IL1B
HLA-DQA1	139.45262	3.5594318	0.0	0.0	Macro_IL1B
HLA-DPA1	137.50702	2.5457413	0.0	0.0	Macro_IL1B
CD74	136.74385	2.053642	0.0	0.0	Macro_IL1B
HLA-DQB1	130.3773	3.358532	0.0	0.0	Macro_IL1B
HLA-DMA	128.0847	3.0150099	0.0	0.0	Macro_IL1B
HLA-DRB1	124.31846	2.0028172	0.0	0.0	Macro_IL1B
C1QA	121.892334	6.3325853	0.0	0.0	Macro_IL1B
RGS1	118.90182	5.494432	0.0	0.0	Macro_IL1B
C1QC	118.03668	7.0233207	0.0	0.0	Macro_IL1B
HERPUD1	111.1521	3.7940502	0.0	0.0	Macro_IL1B
CCL4L2	103.424225	7.1507225	0.0	0.0	Macro_IL1B
HLA-DRB5	103.0847	2.9690259	0.0	0.0	Macro_IL1B
C1QB	101.34861	6.5620136	0.0	0.0	Macro_IL1B
IER3	95.9294	3.477651	0.0	0.0	Macro_IL1B
CD83	90.62531	3.6466496	0.0	0.0	Macro_IL1B
GADD45B	88.29949	3.3530009	0.0	0.0	Macro_IL1B
HLA-DMB	85.73898	3.4398978	0.0	0.0	Macro_IL1B
CEBPD	85.39784	2.8904586	0.0	0.0	Macro_IL1B
NFKBIA	82.3245	2.12438	0.0	0.0	Macro_IL1B
CCL3L3	82.0617	6.6773887	0.0	0.0	Macro_IL1B
CCL4	79.167114	6.2819066	0.0	0.0	Macro_IL1B
PPP1R15A	79.067375	2.5765004	0.0	0.0	Macro_IL1B
PLD4	78.279015	4.987791	0.0	0.0	Macro_IL1B
ITM2B	77.94371	1.2426144	0.0	0.0	Macro_IL1B
MS4A6A	72.72218	2.9189055	0.0	0.0	Macro_IL1B
IL1B	72.19287	4.773534	0.0	0.0	Macro_IL1B
ZFP36	69.767456	1.9614025	0.0	0.0	Macro_IL1B
A2M	69.64757	5.0805297	0.0	0.0	Macro_IL1B
C3	69.26596	5.7576194	0.0	0.0	Macro_IL1B
SGK1	67.90918	4.0231643	0.0	0.0	Macro_IL1B
CCL3	67.865036	5.862556	0.0	0.0	Macro_IL1B
APOE	65.76436	6.887656	0.0	0.0	Macro_IL1B
MS4A7	65.31731	2.5105653	0.0	0.0	Macro_IL1B
NR4A2	64.91363	3.5704474	0.0	0.0	Macro_IL1B
PNRC1	64.765175	1.5551853	0.0	0.0	Macro_IL1B
GPR183	64.07619	4.0750933	0.0	0.0	Macro_IL1B
FCGR2A	63.735466	2.8011973	0.0	0.0	Macro_IL1B
TNFAIP3	62.129086	2.9765153	0.0	0.0	Macro_IL1B
AKR1B1	59.81557	3.8935819	0.0	0.0	Macro_IL1B
CXCR4	58.909428	3.3771684	0.0	0.0	Macro_IL1B
CXCL16	58.443268	2.420048	0.0	0.0	Macro_IL1B
TREM2	57.158424	4.7858667	0.0	0.0	Macro_IL1B
CSF1R	55.80605	2.7433577	0.0	0.0	Macro_IL1B
RNASE6	55.24263	3.3330946	0.0	0.0	Macro_IL1B
DUSP1	55.081184	1.4714453	0.0	0.0	Macro_IL1B
NPM1	54.656845	1.76028	0.0	0.0	Macro_IL1B
CD9	54.30045	3.892467	0.0	0.0	Macro_IL1B
APOC1	52.071594	5.0328608	0.0	0.0	Macro_IL1B
GPR34	51.534702	4.4418406	0.0	0.0	Macro_IL1B
