names	scores	logfoldchanges	pvals	pvals_adj	cluster
IL1B	73.86569	5.4573436	0.0	0.0	Macro_INHBA
CXCL8	60.372276	5.532073	0.0	0.0	Macro_INHBA
BCL2A1	59.439465	3.4684453	0.0	0.0	Macro_INHBA
IER3	55.464455	3.13276	0.0	0.0	Macro_INHBA
PLAUR	54.69563	2.7327409	0.0	0.0	Macro_INHBA
C15orf48	53.100174	5.098852	0.0	0.0	Macro_INHBA
TRAF1	52.36039	4.968818	0.0	0.0	Macro_INHBA
CCL4	51.634823	5.8064237	0.0	0.0	Macro_INHBA
CCL3	51.09735	5.8104167	0.0	0.0	Macro_INHBA
PPP1R15A	45.00891	2.3622887	4.74e-322	6.1466e-319	Macro_INHBA
OLR1	44.533047	3.8714383	1.9046471001423e-310	2.291970692578402e-307	Macro_INHBA
HLA-DRA	44.359375	1.4750992	0.0	0.0	Macro_INHBA
ICAM1	44.035435	3.2038362	6.473477025020351e-308	7.521287409690886e-305	Macro_INHBA
SOD2	42.74181	2.3548167	4.850752110637801e-299	5.27229811663968e-296	Macro_INHBA
NFKBIA	42.544636	1.811518	3.9866249497909926e-298	4.197666908070553e-295	Macro_INHBA
CCL3L3	41.933594	5.847986	8.034047364531045e-281	7.519421997236362e-278	Macro_INHBA
TNF	40.879696	5.064981	2.6836143822584507e-270	2.3795184998899014e-267	Macro_INHBA
GPR84	40.86635	4.030895	3.3449195916094055e-270	2.889838992812495e-267	Macro_INHBA
FCGR2A	40.57651	2.3962076	4.308723571613626e-274	3.923733297890527e-271	Macro_INHBA
CCL4L2	38.259853	5.557853	1.6213727221745393e-244	1.241603011385203e-241	Macro_INHBA
SOCS3	38.155407	2.9539077	5.381333173031324e-246	4.21671255656087e-243	Macro_INHBA
PTGS2	37.946926	3.8454912	1.0590368983477539e-241	7.757215054984613e-239	Macro_INHBA
MIR155HG	37.748333	4.374943	3.6136146893158678e-239	2.5366069446210177e-236	Macro_INHBA
TNFAIP3	37.584427	2.3289578	1.4421686122278222e-243	1.0798317604534275e-240	Macro_INHBA
CLEC5A	37.48889	4.0215974	2.8174245295558105e-236	1.8986060419770695e-233	Macro_INHBA
G0S2	37.347366	3.9201705	1.3915222359866625e-237	9.56856126925196e-235	Macro_INHBA
CD40	37.24156	4.071674	6.029064371770877e-234	3.9832018616166264e-231	Macro_INHBA
IL1A	37.212082	4.2617693	1.1593506669449303e-233	7.512146417700477e-231	Macro_INHBA
IL1RN	36.658	4.0485673	5.822969817912757e-229	3.503556161513436e-226	Macro_INHBA
CLDN1	36.503063	5.5779495	1.3736977544973934e-225	7.980236575868133e-223	Macro_INHBA
B3GNT5	35.975727	3.334624	1.100117146933541e-222	6.282601211657412e-220	Macro_INHBA
TNFAIP8	35.492916	3.2370818	3.9235722912019105e-218	2.1322716899960834e-215	Macro_INHBA
PLEK	35.042156	2.5017211	2.1595700586641048e-215	1.136946149322318e-212	Macro_INHBA
FCGR2B	33.692516	2.9730382	2.9081322132147255e-201	1.4409795116478965e-198	Macro_INHBA
DUSP2	33.59525	2.7122824	3.26666322321108e-201	1.5951731977228133e-198	Macro_INHBA
ABL2	33.360718	3.055245	2.1734962986780993e-197	1.017135892884165e-194	Macro_INHBA
CFLAR	33.318684	2.1690753	5.982527296950727e-199	2.83908837666842e-196	Macro_INHBA
HLA-DRB1	33.297424	1.2772069	4.964790199123228e-201	2.389766299560829e-198	Macro_INHBA
ZC3H12A	33.186073	2.8020172	2.367343582692775e-196	1.0926749955513749e-193	Macro_INHBA
GPR183	33.14541	3.12768	4.414440807736699e-196	2.010002278052437e-193	Macro_INHBA
NFKBIZ	32.731243	2.424925	4.668656569836343e-193	2.0167399290264838e-190	Macro_INHBA
RBKS	32.58541	2.97591	1.7910380867972284e-190	7.450276209450102e-188	Macro_INHBA
CD83	32.367825	2.51451	2.723777587439417e-189	1.1192068540388258e-186	Macro_INHBA
THAP2	32.249104	3.0935771	7.873473959124327e-187	3.121045077396883e-184	Macro_INHBA
GADD45B	32.08	2.2335932	2.997537647244904e-187	1.2023694462651166e-184	Macro_INHBA
PDE4B	31.947506	2.4484744	4.720065647863853e-185	1.8492778132456355e-182	Macro_INHBA
PLSCR1	31.219307	2.1629896	2.0891141528472423e-178	7.735232117146701e-176	Macro_INHBA
DSE	30.955673	2.5280125	4.168106428863956e-175	1.4940444469589588e-172	Macro_INHBA
PMAIP1	30.164433	3.1324868	5.9932878054601376e-167	2.039776154718928e-164	Macro_INHBA
PNRC1	29.297707	1.1280017	8.068363205045103e-162	2.665249312066566e-159	Macro_INHBA
IRAK2	29.25365	2.8604062	1.421648212851222e-158	4.562001417505626e-156	Macro_INHBA
HLA-DQB1	29.087116	2.1907177	1.6160879646231274e-158	5.137025271699212e-156	Macro_INHBA
C3	29.016785	3.1301215	2.1164505198688486e-156	6.542356313436788e-154	Macro_INHBA
GK	28.89589	2.4005888	3.359610707392909e-156	1.0290793015899698e-153	Macro_INHBA
HLA-DQA1	28.32506	2.360761	3.082159921640703e-151	9.355882558537102e-149	Macro_INHBA
SPHK1	28.301939	2.6936631	4.219063446848414e-150	1.2361489024183518e-147	Macro_INHBA
PEA15	28.29489	2.301486	1.2931380239917955e-150	3.8220168930157504e-148	Macro_INHBA
OASL	27.992771	3.2944393	7.644079048412014e-147	2.14632999547662e-144	Macro_INHBA
INHBA	27.986105	4.065748	1.51938692364229e-146	4.1621319516425465e-144	Macro_INHBA
LITAF	27.983454	1.585796	9.152358533828237e-149	2.6357228071693042e-146	Macro_INHBA
MCOLN2	27.98061	3.5753825	1.4809910469383573e-146	4.0902059291427055e-144	Macro_INHBA
