names	scores	logfoldchanges	pvals	pvals_adj	cluster
LAP3	44.504795	4.438388	4.1055536911553715e-214	5.533301042791563e-211	Macro_ISG15
PSME2	40.618214	3.0744793	1.1895779894197996e-194	1.2525512742347103e-191	Macro_ISG15
GBP1	39.030407	5.69788	8.938341866695118e-182	7.170678353724412e-179	Macro_ISG15
TYMP	38.34801	2.6932309	2.34934213417835e-182	2.0297111248462905e-179	Macro_ISG15
IFITM3	38.275726	2.4770067	4.698965706788734e-182	3.9581737631134896e-179	Macro_ISG15
C15orf48	36.30904	5.1300716	1.641188905791852e-167	1.2288493109277923e-164	Macro_ISG15
WARS	32.874516	4.267417	1.9039601461506873e-147	1.087322596006801e-144	Macro_ISG15
MT2A	32.131542	3.671359	3.8536484634751056e-144	2.1228636342694312e-141	Macro_ISG15
VAMP5	31.616879	4.089006	5.289352874621368e-140	2.741837780884498e-137	Macro_ISG15
CXCL10	31.310253	8.033224	5.911985801905831e-137	3.01815832741538e-134	Macro_ISG15
TMSB10	30.464172	0.97789466	2.8042440207870544e-133	1.3498028290914143e-130	Macro_ISG15
PSMB9	30.448072	2.8204217	4.688005155702631e-134	2.2892412422644125e-131	Macro_ISG15
STAT1	30.21216	3.9518988	1.377344138309394e-131	6.445587971693989e-129	Macro_ISG15
GBP5	28.658382	5.2129354	9.90917864277034e-122	3.9747602998750456e-119	Macro_ISG15
SOD2	28.375553	2.418676	3.097465767073281e-122	1.272756238484965e-119	Macro_ISG15
UBE2L6	26.99025	3.093865	9.904449365525308e-113	3.405311397163365e-110	Macro_ISG15
PPA1	26.672388	3.6368892	1.406429158727961e-110	4.645904320998032e-108	Macro_ISG15
CD63	26.167425	1.778431	4.0073779618417714e-109	1.2983133946759293e-106	Macro_ISG15
EPSTI1	26.14781	3.691989	2.5973926290800027e-107	8.103384004094595e-105	Macro_ISG15
LY6E	25.851013	3.2160676	6.158714085127642e-106	1.8694748863449617e-103	Macro_ISG15
IFITM1	25.778713	4.3822947	5.116838169162857e-105	1.512339870805029e-102	Macro_ISG15
IFI35	25.562204	3.7010074	8.683605303125972e-104	2.4795372634197164e-101	Macro_ISG15
ATF5	24.99322	3.8068664	2.0649591899799867e-100	5.566138795774854e-98	Macro_ISG15
TAP1	24.7101	3.5879416	8.698009426825205e-99	2.237181142194263e-96	Macro_ISG15
SERPING1	24.331072	3.9400468	1.9768375343405328e-96	4.861865976793425e-94	Macro_ISG15
IDO1	23.759012	5.8417187	8.064880356363889e-93	1.764532978748863e-90	Macro_ISG15
IL4I1	23.612032	4.2503886	4.108309330897659e-92	8.87342144841447e-90	Macro_ISG15
SERPINA1	23.505352	1.8001138	5.714821468885082e-93	1.2668104906093024e-90	Macro_ISG15
S100A11	22.874035	0.8207726	6.099935044600893e-89	1.245643705410803e-86	Macro_ISG15
IFI6	22.854706	3.479918	5.745120483658311e-88	1.1454206483809653e-85	Macro_ISG15
CD40	22.744633	3.8077765	3.8452236818494507e-87	7.576664721417274e-85	Macro_ISG15
ACTB	22.69561	0.79225785	5.433701606004013e-87	1.0644368715854604e-84	Macro_ISG15
GBP4	22.569605	3.7820992	4.169494843342263e-86	8.073963175377829e-84	Macro_ISG15
PLEK	22.39311	2.5097563	1.4477085535365152e-85	2.7558809041163467e-83	Macro_ISG15
ISG15	22.307913	3.6390061	1.0284863986920411e-84	1.9359676378508176e-82	Macro_ISG15
IL1RN	22.105213	3.8754342	1.6260831547675486e-83	3.010398121798779e-81	Macro_ISG15
FCGR1A	21.911139	3.3461215	2.0783391173152505e-82	3.705161810519579e-80	Macro_ISG15
PKM	21.78051	1.6205094	2.761230257867716e-82	4.871041482125383e-80	Macro_ISG15
CXCL9	21.55012	6.3363976	4.979584139893194e-80	8.389105400478065e-78	Macro_ISG15
MX1	21.170712	3.6859825	4.769805787173396e-78	7.616769487820873e-76	Macro_ISG15
SH3BGRL3	21.09576	0.8782823	2.731890057763355e-78	4.404225052931985e-76	Macro_ISG15
ATOX1	20.872015	2.7503524	1.5151992150786642e-76	2.3418863464614913e-74	Macro_ISG15
ANKRD22	20.708044	4.183929	2.6657558070723223e-75	3.956827143766292e-73	Macro_ISG15
CD44	20.259825	1.7570997	2.08407075711162e-73	3.026753452160298e-71	Macro_ISG15
GLIPR2	20.217375	2.7213492	8.560074302576967e-73	1.2118619476933963e-70	Macro_ISG15
TNFSF13B	19.884037	2.43631	5.588271667318465e-71	7.685356145250138e-69	Macro_ISG15
RNF213	19.836174	2.6501703	1.2054384646985604e-70	1.6443742360143034e-68	Macro_ISG15
SLAMF7	19.792986	4.0821304	3.851601624754588e-70	5.170353193007215e-68	Macro_ISG15
PSMB8	19.764402	2.373827	2.667650589931625e-70	3.5953527590862468e-68	Macro_ISG15
B2M	19.557467	0.46800134	5.454274567172381e-69	7.150829854720086e-67	Macro_ISG15
GBP2	19.525612	2.753519	7.387402642941226e-69	9.610468905454118e-67	Macro_ISG15
SNX10	19.326548	2.5317965	8.856445702443557e-68	1.1134667220079597e-65	Macro_ISG15
MIF	19.238525	1.6343557	1.7761876065526808e-67	2.200252397617133e-65	Macro_ISG15
CXCL11	19.138939	6.679403	2.0586308226193388e-66	2.513170541207826e-64	Macro_ISG15
PARP14	19.13669	3.043603	1.3762464553368073e-66	1.6862272024043048e-64	Macro_ISG15
HLA-B	18.9816	0.5715057	5.889759428189331e-66	7.138473171705443e-64	Macro_ISG15
PRELID1	18.424591	1.846898	6.755266409661059e-63	7.794929671476702e-61	Macro_ISG15
NINJ1	18.390137	1.9700245	1.065338165739982e-62	1.2126859512311809e-60	Macro_ISG15
CTSH	18.384846	1.8651291	1.0539934234293302e-62	1.2038391325094186e-60	Macro_ISG15
PLAUR	18.35536	1.5426996	8.728073397364657e-63	1.0002847110571591e-60	Macro_ISG15
TMEM176A	18.252045	2.6721234	8.47197225535899e-62	9.579014535975364e-60	Macro_ISG15
HLA-C	18.146748	0.66109085	2.1348752796259375e-61	2.381870452705839e-59	Macro_ISG15
HLA-A	18.137888	0.65779275	2.3634351195626175e-61	2.6195257538994357e-59	Macro_ISG15
ENO1	18.066822	1.5641032	6.0349258890950634e-61	6.580608184698028e-59	Macro_ISG15
APOBEC3A	18.055347	3.5015209	1.325925946240507e-60	1.4227945488097976e-58	Macro_ISG15
PLSCR1	17.922674	1.9786257	4.0419771682248065e-60	4.29622645760778e-58	Macro_ISG15
RARRES3	17.911148	2.8011007	7.208039622590285e-60	7.613407117352886e-58	Macro_ISG15
TMEM176B	17.897291	2.3557446	6.448082696115618e-60	6.832128879337096e-58	Macro_ISG15
TXN	17.752764	2.3397563	4.4386718261237035e-59	4.61594470708062e-57	Macro_ISG15
CTSB	17.695442	1.235491	5.100693282473764e-59	5.288084906451415e-57	Macro_ISG15
TPM4	17.56083	1.9477078	3.801390182162243e-58	3.905001243834592e-56	Macro_ISG15
PPIF	17.381956	2.4073656	4.2054178365937125e-57	4.167569076064369e-55	Macro_ISG15
PSMB10	17.336918	1.9580996	6.957334560693976e-57	6.874499433666359e-55	Macro_ISG15
HAPLN3	17.257563	4.461011	3.3794435285497637e-56	3.262663904038846e-54	Macro_ISG15
TNFSF10	17.238253	2.9579864	3.324732393030198e-56	3.219067047435618e-54	Macro_ISG15
LITAF	17.150404	1.5016533	5.159914955755574e-56	4.925160751252927e-54	Macro_ISG15
PSMA6	17.134863	1.9227843	8.481375484710038e-56	8.049900438924508e-54	Macro_ISG15
CYBA	17.085619	0.59293306	9.717802131555123e-56	9.171754202258217e-54	Macro_ISG15
NAPA	17.031221	1.9605856	3.0750250424238235e-55	2.870080160094967e-53	Macro_ISG15
DRAM1	17.019407	2.8981082	5.0853862312686995e-55	4.6688556860045655e-53	Macro_ISG15
SEC61G	16.873274	1.9194164	2.127408322277537e-54	1.9114905602885154e-52	Macro_ISG15
PIM3	16.853403	2.2532349	2.8735848630224076e-54	2.5546851813898944e-52	Macro_ISG15
IFI30	16.852592	1.869138	2.4807155769803795e-54	2.2112494881157915e-52	Macro_ISG15
LILRB4	16.716404	2.342208	1.6796183408181075e-53	1.4699496201435146e-51	Macro_ISG15
IRF7	16.710333	2.3687727	1.8170146392345003e-53	1.5860749029628823e-51	Macro_ISG15
ANXA5	16.611078	0.97786665	3.2489119664885624e-53	2.7997145728610136e-51	Macro_ISG15
ODF3B	16.604223	2.0571644	6.055731854010072e-53	5.1656159263041864e-51	Macro_ISG15
PSMB3	16.548397	1.707374	1.1045557026768381e-52	9.281022405484634e-51	Macro_ISG15
HLA-DRA	16.427156	0.78344804	1.014442923086402e-52	8.545159962618307e-51	Macro_ISG15
SMCO4	16.284006	2.4920735	3.4980094660006994e-51	2.881709803115588e-49	Macro_ISG15
TAPBP	16.2598	2.0544095	4.032717205096221e-51	3.2980187744784487e-49	Macro_ISG15
LGALS9	16.254965	1.8945372	4.043119418961573e-51	3.2985197506656475e-49	Macro_ISG15
SQRDL	16.248611	2.4117458	5.294605504729954e-51	4.29870934641858e-49	Macro_ISG15
GNG10	16.096733	2.3923314	3.253252286882829e-50	2.591373110029079e-48	Macro_ISG15
