names	scores	logfoldchanges	pvals	pvals_adj	cluster
C1QC	144.57893	7.239467	0.0	0.0	Macro_LYVE1
C1QA	139.94536	6.697577	0.0	0.0	Macro_LYVE1
C1QB	130.53282	6.868336	0.0	0.0	Macro_LYVE1
MRC1	112.0749	6.935247	0.0	0.0	Macro_LYVE1
CD163	111.56351	5.220461	0.0	0.0	Macro_LYVE1
FOLR2	99.13766	7.212307	0.0	0.0	Macro_LYVE1
SEPP1	95.75765	8.47641	0.0	0.0	Macro_LYVE1
RNASE1	90.675606	8.463235	0.0	0.0	Macro_LYVE1
MS4A6A	85.43961	3.2416298	0.0	0.0	Macro_LYVE1
MS4A4A	80.06566	4.7940392	0.0	0.0	Macro_LYVE1
LYVE1	69.667915	7.690554	0.0	0.0	Macro_LYVE1
STAB1	68.81957	5.219881	0.0	0.0	Macro_LYVE1
DAB2	67.459526	5.0878105	0.0	0.0	Macro_LYVE1
F13A1	65.473434	4.990806	0.0	0.0	Macro_LYVE1
CD74	61.76226	1.172778	0.0	0.0	Macro_LYVE1
GADD45B	61.33592	3.3077915	0.0	0.0	Macro_LYVE1
VSIG4	60.839634	4.2890973	0.0	0.0	Macro_LYVE1
SLCO2B1	58.252415	4.5410533	0.0	0.0	Macro_LYVE1
HLA-DRA	56.369255	1.4079959	0.0	0.0	Macro_LYVE1
HLA-DRB1	56.077263	1.3437337	0.0	0.0	Macro_LYVE1
A2M	53.908875	4.146897	0.0	0.0	Macro_LYVE1
LGMN	53.32301	3.9479163	0.0	0.0	Macro_LYVE1
HLA-DPB1	53.192028	1.5698336	0.0	0.0	Macro_LYVE1
GPX1	52.62283	1.9062259	0.0	0.0	Macro_LYVE1
MS4A7	52.030174	2.3261483	0.0	0.0	Macro_LYVE1
GPR34	51.92546	4.448692	0.0	0.0	Macro_LYVE1
SLC40A1	50.355103	4.5153728	0.0	0.0	Macro_LYVE1
JUN	50.17498	3.788022	0.0	0.0	Macro_LYVE1
FCGR2A	48.744766	2.568099	0.0	0.0	Macro_LYVE1
FOS	48.43993	2.8851836	0.0	0.0	Macro_LYVE1
KLF6	47.949627	2.4163642	0.0	0.0	Macro_LYVE1
PLTP	46.56947	4.2153025	0.0	0.0	Macro_LYVE1
HLA-DPA1	45.191288	1.4076141	0.0	0.0	Macro_LYVE1
CSF1R	44.9251	2.5731006	0.0	0.0	Macro_LYVE1
MAF	44.226624	4.2908726	0.0	0.0	Macro_LYVE1
MSR1	43.858833	3.174352	0.0	0.0	Macro_LYVE1
RGL1	43.512474	4.278599	0.0	0.0	Macro_LYVE1
FCGRT	43.21462	1.7608926	0.0	0.0	Macro_LYVE1
HLA-DMA	42.37312	1.8727232	0.0	0.0	Macro_LYVE1
CXCL3	42.2695	4.189768	2.68297e-319	7.349604e-317	Macro_LYVE1
SGK1	42.199326	3.1166852	1.923e-320	5.31068e-318	Macro_LYVE1
LILRB5	41.450783	4.917044	1.462339637002073e-305	3.849380603839676e-303	Macro_LYVE1
CD14	41.07911	2.6607804	1.8890716400803e-308	5.0920303872692503e-306	Macro_LYVE1
FOSB	40.855824	2.5077915	1.6666418597587023e-305	4.3531651800550165e-303	Macro_LYVE1
CCL3	40.535103	3.9303114	8.977500155403299e-299	2.3090678643981584e-296	Macro_LYVE1
SLC1A3	40.400368	3.2322283	7.571754111220539e-296	1.9182156618305625e-293	Macro_LYVE1
ATF3	40.21496	3.0330975	4.501229750195131e-295	1.1234402607635165e-292	Macro_LYVE1
MERTK	39.758255	3.6114004	1.4607302612445676e-286	3.540852188660033e-284	Macro_LYVE1
EGR1	39.578144	3.4790816	3.7615845824405153e-286	8.988853256790832e-284	Macro_LYVE1
CTSB	38.675705	1.3084803	1.6504154977509848e-282	3.808364962310866e-280	Macro_LYVE1
IER3	38.672398	2.4359875	6.305784287667164e-279	1.3978098407148516e-276	Macro_LYVE1
CXCL2	38.286106	3.5149715	7.675513214161118e-272	1.6368274825186373e-269	Macro_LYVE1
ARHGAP18	38.25101	2.6619947	2.3503392755644202e-271	4.980649783073433e-269	Macro_LYVE1
HLA-DQA1	37.888622	1.9793434	1.3936038171888403e-272	3.010005577971845e-270	Macro_LYVE1
CXCL8	37.75643	3.4836774	1.6142070709874316e-265	3.3573514228302796e-263	Macro_LYVE1
FRMD4B	37.239723	3.1253111	2.5293462234253165e-257	5.072844741195989e-255	Macro_LYVE1
ZFP36	37.097862	1.5292629	1.826746319733285e-260	3.730326696793533e-258	Macro_LYVE1
FILIP1L	36.96738	3.1632876	2.184192660133119e-254	4.3290698523838417e-252	Macro_LYVE1
NR4A2	36.515133	2.5731456	2.3918881413914608e-251	4.685597618374644e-249	Macro_LYVE1
PLD3	36.074963	2.575219	1.787017989843674e-245	3.382684502797346e-243	Macro_LYVE1
ITM2B	35.57402	0.87526226	8.4964726116265e-242	1.5904452676452405e-239	Macro_LYVE1
NRP1	35.546257	3.3807194	4.064236142879828e-237	7.36238562355876e-235	Macro_LYVE1
GAS6	35.06328	2.9837265	3.6705126110250806e-232	6.509171153467319e-230	Macro_LYVE1
CXCL12	35.00958	4.1783047	2.1280292443211055e-230	3.754021851212321e-228	Macro_LYVE1
