names	scores	logfoldchanges	pvals	pvals_adj	cluster
IL1B	161.317	6.2451625	0.0	0.0	Macro_NLRP3
SOD2	153.3344	3.7825503	0.0	0.0	Macro_NLRP3
S100A8	124.35342	7.2292085	0.0	0.0	Macro_NLRP3
VCAN	123.85231	6.4487276	0.0	0.0	Macro_NLRP3
PLAUR	122.98058	3.243981	0.0	0.0	Macro_NLRP3
CXCL8	121.11259	6.5944834	0.0	0.0	Macro_NLRP3
S100A9	120.49049	6.030585	0.0	0.0	Macro_NLRP3
NAMPT	120.227066	3.0198658	0.0	0.0	Macro_NLRP3
EREG	118.768654	7.059954	0.0	0.0	Macro_NLRP3
CXCL2	117.086006	6.4303412	0.0	0.0	Macro_NLRP3
IER3	112.30613	3.621923	0.0	0.0	Macro_NLRP3
BCL2A1	111.686516	3.7858856	0.0	0.0	Macro_NLRP3
TIMP1	110.80944	4.092563	0.0	0.0	Macro_NLRP3
LYZ	110.39263	3.0877795	0.0	0.0	Macro_NLRP3
FCN1	110.20954	4.8641315	0.0	0.0	Macro_NLRP3
G0S2	102.238266	5.766302	0.0	0.0	Macro_NLRP3
PPIF	100.408936	4.6673646	0.0	0.0	Macro_NLRP3
AQP9	98.84091	5.8841476	0.0	0.0	Macro_NLRP3
CD44	96.11654	2.8312807	0.0	0.0	Macro_NLRP3
KDM6B	95.74965	3.4401138	0.0	0.0	Macro_NLRP3
NFKBIA	91.19781	2.2089534	0.0	0.0	Macro_NLRP3
SRGN	87.79577	1.0621517	0.0	0.0	Macro_NLRP3
SLC2A3	86.830124	4.21241	0.0	0.0	Macro_NLRP3
FTH1	86.437294	0.9795718	0.0	0.0	Macro_NLRP3
S100A6	85.91849	1.8773953	0.0	0.0	Macro_NLRP3
NLRP3	84.47093	4.136265	0.0	0.0	Macro_NLRP3
SAMSN1	83.53695	3.3866704	0.0	0.0	Macro_NLRP3
ATP2B1	83.29139	3.8822517	0.0	0.0	Macro_NLRP3
CCL20	75.458565	6.145516	0.0	0.0	Macro_NLRP3
UPP1	74.81198	3.2840953	0.0	0.0	Macro_NLRP3
FLNA	74.73439	3.4054327	0.0	0.0	Macro_NLRP3
SLC11A1	73.76206	3.6726947	0.0	0.0	Macro_NLRP3
EHD1	73.43502	4.6954765	0.0	0.0	Macro_NLRP3
PNRC1	71.87471	1.7112787	0.0	0.0	Macro_NLRP3
PDE4B	70.73733	3.3487315	0.0	0.0	Macro_NLRP3
S100A4	69.89672	1.7040758	0.0	0.0	Macro_NLRP3
SLC25A37	69.343445	4.240402	0.0	0.0	Macro_NLRP3
CDKN1A	69.01567	2.4760654	0.0	0.0	Macro_NLRP3
S100A12	68.43992	5.555398	0.0	0.0	Macro_NLRP3
THBS1	65.36734	5.536332	0.0	0.0	Macro_NLRP3
C5AR1	65.29074	2.8975031	0.0	0.0	Macro_NLRP3
CD300E	64.84025	4.3802853	0.0	0.0	Macro_NLRP3
TNFAIP3	64.802795	2.7227967	0.0	0.0	Macro_NLRP3
BTG1	63.574833	1.5164936	0.0	0.0	Macro_NLRP3
THAP2	62.67216	4.0031314	0.0	0.0	Macro_NLRP3
CD55	61.971897	2.8376815	0.0	0.0	Macro_NLRP3
PTGS2	61.938194	4.599712	0.0	0.0	Macro_NLRP3
S100A10	61.886177	1.6569209	0.0	0.0	Macro_NLRP3
MCEMP1	61.854	4.854224	0.0	0.0	Macro_NLRP3
IVNS1ABP	61.544178	3.5770106	0.0	0.0	Macro_NLRP3
MXD1	61.318363	3.5391655	0.0	0.0	Macro_NLRP3
H3F3A	60.956486	0.82280636	0.0	0.0	Macro_NLRP3
ATP13A3	60.61084	3.9669354	0.0	0.0	Macro_NLRP3
MCL1	60.53027	1.4559952	0.0	0.0	Macro_NLRP3
CD93	60.108265	3.905287	0.0	0.0	Macro_NLRP3
LUCAT1	59.94189	4.3962584	0.0	0.0	Macro_NLRP3
TREM1	59.803776	3.535911	0.0	0.0	Macro_NLRP3
APLP2	59.2278	2.5793211	0.0	0.0	Macro_NLRP3
CXCL3	59.179676	5.1285853	0.0	0.0	Macro_NLRP3
PIM3	58.758392	3.2488487	0.0	0.0	Macro_NLRP3
ANPEP	58.745228	4.2509193	0.0	0.0	Macro_NLRP3
NFKB1	58.627167	3.0463948	0.0	0.0	Macro_NLRP3
FPR1	58.12756	2.6466267	0.0	0.0	Macro_NLRP3
VIM	57.833828	1.0636281	0.0	0.0	Macro_NLRP3
CD14	56.594673	3.04373	0.0	0.0	Macro_NLRP3
IL1RN	56.31697	4.5470376	0.0	0.0	Macro_NLRP3
