names	scores	logfoldchanges	pvals	pvals_adj	cluster
CPA3	481.87418	18.251556	0.0	0.0	Mast_KIT
TPSAB1	479.80734	17.681482	0.0	0.0	Mast_KIT
TPSB2	455.37793	17.385239	0.0	0.0	Mast_KIT
TPSD1	389.62524	17.222698	0.0	0.0	Mast_KIT
CLU	315.4081	13.807324	0.0	0.0	Mast_KIT
MS4A2	210.52032	16.462402	0.0	0.0	Mast_KIT
HPGDS	190.57713	9.702344	0.0	0.0	Mast_KIT
VWA5A	178.7597	11.185157	0.0	0.0	Mast_KIT
IL1RL1	164.80191	15.020739	0.0	0.0	Mast_KIT
KIT	164.33928	13.937927	0.0	0.0	Mast_KIT
GATA2	160.99821	14.611488	0.0	0.0	Mast_KIT
ALOX5AP	157.70442	5.4946985	0.0	0.0	Mast_KIT
LTC4S	154.1645	7.570432	0.0	0.0	Mast_KIT
SLC18A2	150.63959	13.763637	0.0	0.0	Mast_KIT
CD9	148.66318	6.4720993	0.0	0.0	Mast_KIT
MALAT1	141.88629	1.8685681	0.0	0.0	Mast_KIT
RAC2	131.40051	4.492053	0.0	0.0	Mast_KIT
BACE2	121.07708	12.475648	0.0	0.0	Mast_KIT
VIM	118.94497	1.9911908	0.0	0.0	Mast_KIT
C1orf186	116.636856	10.407426	0.0	0.0	Mast_KIT
HDC	114.179474	14.999104	0.0	0.0	Mast_KIT
LMNA	113.57002	6.8971176	0.0	0.0	Mast_KIT
MAOB	108.25925	14.266264	0.0	0.0	Mast_KIT
CD82	105.42659	6.9042077	0.0	0.0	Mast_KIT
LAPTM4A	101.73615	4.0042934	0.0	0.0	Mast_KIT
PTGS1	97.6164	6.3750496	0.0	0.0	Mast_KIT
CAPG	92.700165	3.5044827	0.0	0.0	Mast_KIT
CD69	89.676216	7.403518	0.0	0.0	Mast_KIT
LAT	87.791985	8.554773	0.0	0.0	Mast_KIT
ITM2C	85.29362	6.565266	0.0	0.0	Mast_KIT
TIMP3	80.685646	9.968591	0.0	0.0	Mast_KIT
CDC42EP3	79.45334	5.074646	0.0	0.0	Mast_KIT
RAB27B	78.82533	12.861172	0.0	0.0	Mast_KIT
PTMA	78.34134	0.87726724	0.0	0.0	Mast_KIT
SOCS1	78.07771	5.8856235	0.0	0.0	Mast_KIT
ANXA1	77.80105	3.045912	0.0	0.0	Mast_KIT
HSP90AB1	76.719925	1.9260046	0.0	0.0	Mast_KIT
RGS13	75.8383	8.689393	0.0	0.0	Mast_KIT
HPGD	75.73077	7.5219913	0.0	0.0	Mast_KIT
RP11-354E11.2	75.03398	12.712637	0.0	0.0	Mast_KIT
MLPH	73.82285	11.389233	0.0	0.0	Mast_KIT
RPS27A	73.266624	0.67223763	0.0	0.0	Mast_KIT
NSMCE1	71.81579	5.3535037	0.0	0.0	Mast_KIT
ACSL4	70.86703	4.881234	0.0	0.0	Mast_KIT
CALB2	69.68807	9.378153	0.0	0.0	Mast_KIT
SIGLEC6	69.68649	10.73225	0.0	0.0	Mast_KIT
EEF1A1	69.24572	0.7041523	0.0	0.0	Mast_KIT
UBB	68.48191	2.0656972	0.0	0.0	Mast_KIT
H3F3B	68.40566	1.0545504	0.0	0.0	Mast_KIT
RPL14	68.36052	0.8229255	0.0	0.0	Mast_KIT
TNIK	68.33484	7.893326	0.0	0.0	Mast_KIT
LEO1	68.269554	6.6166024	0.0	0.0	Mast_KIT
RHOH	66.97736	5.363116	0.0	0.0	Mast_KIT
TSEN54	65.77479	6.2564745	0.0	0.0	Mast_KIT
SYTL3	65.56671	4.9734263	0.0	0.0	Mast_KIT
FOSB	65.244064	3.446613	0.0	0.0	Mast_KIT
RPL5	64.80613	1.0420195	0.0	0.0	Mast_KIT
GALC	64.578926	5.6984	0.0	0.0	Mast_KIT
ITM2A	64.320694	8.962653	0.0	0.0	Mast_KIT
CD63	63.34639	2.3133616	0.0	0.0	Mast_KIT
SQSTM1	63.150703	2.5442839	0.0	0.0	Mast_KIT
SLC26A2	62.941265	6.135869	0.0	0.0	Mast_KIT
CTSD	62.031487	2.3802087	0.0	0.0	Mast_KIT
ADRB2	61.17817	5.4784794	0.0	0.0	Mast_KIT
SLC24A3	60.782158	11.364157	0.0	0.0	Mast_KIT
AREG	60.48731	4.167439	0.0	0.0	Mast_KIT
SLC2A3	60.152496	3.6042438	0.0	0.0	Mast_KIT
BATF	59.604637	5.6537757	0.0	0.0	Mast_KIT
SMYD3	58.771103	6.3162427	0.0	0.0	Mast_KIT
CNRIP1	58.75386	5.7538753	0.0	0.0	Mast_KIT
ELL2	58.728466	3.6377978	0.0	0.0	Mast_KIT
ALOX5	58.597878	3.4706013	0.0	0.0	Mast_KIT
CSF1	58.237705	7.671811	0.0	0.0	Mast_KIT
TSC22D1	58.17182	5.1047316	0.0	0.0	Mast_KIT
PEBP1	58.084396	3.497488	0.0	0.0	Mast_KIT
CTD-3252C9.4	57.72943	4.4157143	0.0	0.0	Mast_KIT
C12orf57	56.469093	3.8580587	0.0	0.0	Mast_KIT
NTRK1	56.292175	12.314721	0.0	0.0	Mast_KIT
RPS4X	56.24097	0.70396566	0.0	0.0	Mast_KIT
SLC44A1	55.92684	4.3612514	0.0	0.0	Mast_KIT
DUSP10	55.784584	5.095324	0.0	0.0	Mast_KIT
RHOBTB3	55.75505	5.2332225	0.0	0.0	Mast_KIT
SKAP1	55.02978	8.909093	0.0	0.0	Mast_KIT
GLUL	54.800438	2.197535	0.0	0.0	Mast_KIT
RHBDD2	54.5594	4.1006637	0.0	0.0	Mast_KIT
MARCH3	54.433254	5.152563	0.0	0.0	Mast_KIT
MYADM	54.08782	3.4124532	0.0	0.0	Mast_KIT
FXYD5	53.920746	1.357469	0.0	0.0	Mast_KIT
SELK	53.484695	2.6968033	0.0	0.0	Mast_KIT
LDHB	53.092815	3.1865294	0.0	0.0	Mast_KIT
STXBP6	52.82306	8.387883	0.0	0.0	Mast_KIT
BHLHE40	52.784122	3.475562	0.0	0.0	Mast_KIT
MAST4	52.748096	7.3198404	0.0	0.0	Mast_KIT
ARHGAP18	52.544216	3.5257628	0.0	0.0	Mast_KIT
STMN1	52.278553	4.045482	0.0	0.0	Mast_KIT
SEPT2	52.25718	3.3405926	0.0	0.0	Mast_KIT
VAT1	52.238613	4.268502	0.0	0.0	Mast_KIT
TESPA1	52.142982	7.53399	0.0	0.0	Mast_KIT
GALNT6	51.89482	4.919368	0.0	0.0	Mast_KIT
IDS	51.735844	3.499332	0.0	0.0	Mast_KIT
ATP6V0A2	51.453194	4.93863	0.0	0.0	Mast_KIT
NDFIP2	51.419697	9.228382	0.0	0.0	Mast_KIT
CD44	51.031715	2.2780268	0.0	0.0	Mast_KIT
RPL10	51.022835	0.49790338	0.0	0.0	Mast_KIT
RPL11	50.991314	0.5192427	0.0	0.0	Mast_KIT
BTG2	49.47107	3.0892978	0.0	0.0	Mast_KIT
FER	49.445385	5.364633	0.0	0.0	Mast_KIT
AKAP2	49.37428	5.17885	0.0	0.0	Mast_KIT
NFKBIZ	49.290806	2.900127	0.0	0.0	Mast_KIT
GRAP2	49.238075	9.118778	0.0	0.0	Mast_KIT
SRGN	49.14286	0.8286856	0.0	0.0	Mast_KIT
GMPR	48.43781	5.3975277	0.0	0.0	Mast_KIT
BIRC3	48.09334	3.500772	0.0	0.0	Mast_KIT
GNPTAB	47.622257	3.816432	0.0	0.0	Mast_KIT
RPL7A	47.433327	0.51917547	0.0	0.0	Mast_KIT
ARHGEF6	46.40947	3.7892556	0.0	0.0	Mast_KIT
PRKX	46.3767	4.120452	0.0	0.0	Mast_KIT
KLRG1	45.04687	6.7548237	0.0	0.0	Mast_KIT
DLC1	45.03497	5.887943	0.0	0.0	Mast_KIT
TAGLN2	44.970383	1.6839802	0.0	0.0	Mast_KIT
FCER1A	44.931274	3.637983	0.0	0.0	Mast_KIT
ABCC4	44.646225	4.5572515	0.0	0.0	Mast_KIT
TMEM233	44.60173	11.816702	0.0	0.0	Mast_KIT
AKAP13	44.19045	2.2243614	0.0	0.0	Mast_KIT
TNFRSF12A	44.142097	3.8749776	0.0	0.0	Mast_KIT
CRLF2	43.976288	5.6637764	0.0	0.0	Mast_KIT
SKIL	43.882805	2.808162	0.0	0.0	Mast_KIT
