names	scores	logfoldchanges	pvals	pvals_adj	cluster
S100A9	227.4857	7.3390164	0.0	0.0	Mono_CD14
S100A8	218.76888	8.235941	0.0	0.0	Mono_CD14
FCN1	179.76622	5.881195	0.0	0.0	Mono_CD14
LYZ	177.69771	3.877564	0.0	0.0	Mono_CD14
VCAN	170.0762	6.6362085	0.0	0.0	Mono_CD14
S100A12	132.36418	6.808173	0.0	0.0	Mono_CD14
S100A6	128.34975	2.3087864	0.0	0.0	Mono_CD14
S100A4	118.25801	2.293222	0.0	0.0	Mono_CD14
SH3BGRL3	99.34244	1.1144154	0.0	0.0	Mono_CD14
CSTA	97.20597	3.4609463	0.0	0.0	Mono_CD14
S100A10	94.20688	1.8715779	0.0	0.0	Mono_CD14
TSPO	92.50458	2.0658178	0.0	0.0	Mono_CD14
RPLP1	86.51751	0.60485804	0.0	0.0	Mono_CD14
LGALS2	82.59733	3.8172152	0.0	0.0	Mono_CD14
CFP	81.03016	3.346922	0.0	0.0	Mono_CD14
CLEC4E	79.102455	3.4711373	0.0	0.0	Mono_CD14
SLC11A1	78.38125	3.0945358	0.0	0.0	Mono_CD14
CSF3R	76.004524	3.169015	0.0	0.0	Mono_CD14
SERPINA1	75.35912	2.0217311	0.0	0.0	Mono_CD14
RPS13	73.22847	0.58695966	0.0	0.0	Mono_CD14
H3F3A	72.49249	0.7095992	0.0	0.0	Mono_CD14
FPR1	70.87999	2.4747224	0.0	0.0	Mono_CD14
RPL28	70.15822	0.47378775	0.0	0.0	Mono_CD14
CD36	68.436806	3.3371243	0.0	0.0	Mono_CD14
RPL39	67.78293	0.6593979	0.0	0.0	Mono_CD14
CTSS	66.368164	1.4786019	0.0	0.0	Mono_CD14
COTL1	65.60676	1.1710534	0.0	0.0	Mono_CD14
RPS28	64.988335	0.6345035	0.0	0.0	Mono_CD14
RPL35A	64.656105	0.58692175	0.0	0.0	Mono_CD14
FGR	63.961937	2.392125	0.0	0.0	Mono_CD14
APLP2	63.333958	2.1599743	0.0	0.0	Mono_CD14
GAPDH	62.476025	0.7140478	0.0	0.0	Mono_CD14
RPS24	61.947006	0.4623628	0.0	0.0	Mono_CD14
TKT	61.83585	2.0130796	0.0	0.0	Mono_CD14
TYROBP	61.834682	0.5603619	0.0	0.0	Mono_CD14
CFD	61.749123	2.2698576	0.0	0.0	Mono_CD14
RPLP2	61.73892	0.5622401	0.0	0.0	Mono_CD14
RPL34	61.491314	0.58458304	0.0	0.0	Mono_CD14
ATP5E	61.362972	0.8165929	0.0	0.0	Mono_CD14
SERF2	60.848648	0.55144155	0.0	0.0	Mono_CD14
SLC25A37	60.72058	2.7488778	0.0	0.0	Mono_CD14
CD14	60.438118	2.433773	0.0	0.0	Mono_CD14
CD52	59.99341	2.4977999	0.0	0.0	Mono_CD14
MT-ND4	59.401005	0.67740697	0.0	0.0	Mono_CD14
