names	scores	logfoldchanges	pvals	pvals_adj	cluster
RPL39	88.98678	1.2776358	0.0	0.0	Mono_CD14CD16
TMSB10	79.69739	0.9311279	0.0	0.0	Mono_CD14CD16
RPL34	79.59708	1.0986315	0.0	0.0	Mono_CD14CD16
FCN1	78.754456	4.976172	0.0	0.0	Mono_CD14CD16
RPL37	75.256165	1.0509448	0.0	0.0	Mono_CD14CD16
AIF1	69.41344	1.6934087	0.0	0.0	Mono_CD14CD16
RPS28	65.951485	1.0114317	0.0	0.0	Mono_CD14CD16
CTSS	63.60135	1.9860176	0.0	0.0	Mono_CD14CD16
LST1	63.347023	2.7366717	0.0	0.0	Mono_CD14CD16
TXNIP	63.20326	4.369875	0.0	0.0	Mono_CD14CD16
S100A4	61.972076	2.399567	0.0	0.0	Mono_CD14CD16
ATP5E	60.871986	1.3167027	0.0	0.0	Mono_CD14CD16
RPL28	59.44112	0.8679665	0.0	0.0	Mono_CD14CD16
MT-ND3	58.990677	1.1751367	0.0	0.0	Mono_CD14CD16
S100A6	58.630817	2.25445	0.0	0.0	Mono_CD14CD16
LYZ	57.0387	2.5149488	0.0	0.0	Mono_CD14CD16
RPS21	55.576393	1.1572566	0.0	0.0	Mono_CD14CD16
IFITM3	55.058403	2.3089616	0.0	0.0	Mono_CD14CD16
RPS13	54.100765	0.8172179	0.0	0.0	Mono_CD14CD16
KLF2	52.323196	4.613196	0.0	0.0	Mono_CD14CD16
AC090498.1	50.78889	0.847541	0.0	0.0	Mono_CD14CD16
RPS24	50.42625	0.74151963	0.0	0.0	Mono_CD14CD16
RPS29	50.03454	1.8740511	0.0	0.0	Mono_CD14CD16
SH3BGRL3	49.881855	1.1380965	0.0	0.0	Mono_CD14CD16
RPS27	49.643677	0.86181295	0.0	0.0	Mono_CD14CD16
RPL32	48.48712	0.5916319	0.0	0.0	Mono_CD14CD16
RPS8	47.51805	0.62936795	0.0	0.0	Mono_CD14CD16
RPLP2	47.25413	0.76460254	1.071e-320	1.769155e-318	Mono_CD14CD16
RPS12	46.837593	0.56700116	8.15683e-319	1.3277106e-316	Mono_CD14CD16
S100A8	45.96837	4.7986307	7.050384983166633e-304	1.051131290366445e-301	Mono_CD14CD16
RPS27A	44.982914	0.58048475	5.23453486929444e-300	7.569631668927334e-298	Mono_CD14CD16
RPS15A	44.964077	0.66376054	7.3879838437945465e-298	1.0547912187831078e-295	Mono_CD14CD16
CFD	43.77921	3.1294897	3.961221344269221e-286	5.492567570938565e-284	Mono_CD14CD16
TYROBP	43.701183	0.6843739	6.149206358517574e-298	8.816653576335793e-296	Mono_CD14CD16
RPS15	43.011055	0.5618509	6.874603670098942e-281	9.155450437166553e-279	Mono_CD14CD16
CSTA	42.763767	3.3439968	2.311470231924224e-274	2.9279202253554435e-272	Mono_CD14CD16
CD52	42.58331	3.5770113	1.2552192669942764e-273	1.5722437911563252e-271	Mono_CD14CD16
LY6E	41.94673	3.4213555	6.9857690545853705e-267	8.201341551400679e-265	Mono_CD14CD16
RPS4Y1	41.92789	3.9623525	2.1469876697019923e-265	2.494503535963411e-263	Mono_CD14CD16
S100A9	41.81837	3.7132447	3.1029350036835486e-268	3.720650961356352e-266	Mono_CD14CD16
FTL	41.716454	0.6032222	7.204810407581165e-274	9.092092954046434e-272	Mono_CD14CD16
RPL30	41.64131	0.70380867	8.521895464925754e-264	9.799888934990047e-262	Mono_CD14CD16
UBA52	41.375587	0.7591693	3.976785557360748e-267	4.6850983415983577e-265	Mono_CD14CD16
RPL26	41.357826	0.55894387	3.771146579274814e-268	4.505851519222893e-266	Mono_CD14CD16
CST3	41.211678	0.6356237	5.3207526694988373e-278	7.003025017425541e-276	Mono_CD14CD16
RPL22	40.964394	0.8304197	2.2563717350971104e-261	2.5342063080787343e-259	Mono_CD14CD16
COTL1	40.736904	1.536557	2.0213159281151311e-262	2.3086853858274993e-260	Mono_CD14CD16
FAU	40.580284	0.68243235	2.7828386046785605e-254	3.024676256323852e-252	Mono_CD14CD16
RPL36	40.5691	0.7834178	8.559654333042543e-262	9.645785722325601e-260	Mono_CD14CD16
RPL11	40.43377	0.60221	5.2112113523102175e-254	5.645869945490047e-252	Mono_CD14CD16
RPL35A	40.06542	0.82242185	9.941747515844109e-251	1.0567105387976386e-248	Mono_CD14CD16
TNFSF10	40.03444	4.379233	2.703719592832397e-246	2.803050091104455e-244	Mono_CD14CD16
MNDA	39.990856	3.2026947	6.843811449021139e-249	7.183656790134524e-247	Mono_CD14CD16
GABARAP	39.957336	0.9449383	5.688613698081001e-251	6.065574365289279e-249	Mono_CD14CD16
CARD16	39.738335	2.7330153	8.74306588549895e-248	9.148722420683281e-246	Mono_CD14CD16
FAM26F	38.996643	3.0257182	4.7628449442018377e-240	4.819198124622724e-238	Mono_CD14CD16
FGL2	38.262413	2.2716525	3.826335952128303e-236	3.78077899035223e-234	Mono_CD14CD16
TSPO	37.353947	1.7697142	2.175034820807751e-228	2.0702153461100667e-226	Mono_CD14CD16
RPL6	37.31532	0.7232103	6.672215224288903e-227	6.210320988043931e-225	Mono_CD14CD16
SERF2	37.00944	0.6383595	3.277974428098217e-226	3.0342876478115745e-224	Mono_CD14CD16
RPL19	36.760353	0.44363278	3.075400017970014e-222	2.7632674188128437e-220	Mono_CD14CD16
PRELID1	36.190186	2.4258397	4.287337004411846e-215	3.685141148639101e-213	Mono_CD14CD16
DUSP6	35.910072	3.717752	1.880381062841182e-210	1.5643841859597725e-208	Mono_CD14CD16
CYBA	35.692818	0.6527957	5.7930994935397414e-217	5.056805552728706e-215	Mono_CD14CD16
PLAC8	35.40096	3.9198644	1.6960081789634648e-205	1.3736850861056486e-203	Mono_CD14CD16
GIMAP4	35.19917	3.6807027	9.369328230989519e-204	7.570507084291627e-202	Mono_CD14CD16
TYMP	34.823383	2.1299899	1.5706724902768909e-203	1.2660822700332432e-201	Mono_CD14CD16
GIMAP7	34.368877	4.3682594	1.6803906255830892e-195	1.2897285134031117e-193	Mono_CD14CD16
CFP	34.130077	3.31229	3.1744289469452313e-195	2.4253788874914427e-193	Mono_CD14CD16
RPL18A	33.95496	0.58717984	1.3197846104546792e-195	1.0152699238506841e-193	Mono_CD14CD16
LIMD2	33.754456	3.0382848	5.0186893030190455e-192	3.741144189732826e-190	Mono_CD14CD16
RPL21	33.7344	0.76475954	2.5600477716710038e-195	1.9604147640609726e-193	Mono_CD14CD16
GPBAR1	32.47643	4.0480976	3.179254076966468e-179	2.1996260137434944e-177	Mono_CD14CD16
RPS14	31.739202	0.4738823	2.8400524798955192e-176	1.9100344961596733e-174	Mono_CD14CD16
MT-ND4	31.667444	0.6583366	6.986084272469127e-177	4.736199667536716e-175	Mono_CD14CD16
CORO1A	31.470888	2.000727	2.1102730044331647e-173	1.3969261023845e-171	Mono_CD14CD16
RPLP1	31.328312	0.45610678	2.0552596142746824e-171	1.3420526636312237e-169	Mono_CD14CD16
SERPINA1	30.953756	1.763038	2.7592233840495227e-170	1.7913154663230176e-168	Mono_CD14CD16
MPEG1	30.598776	2.9523525	3.663848760081065e-164	2.277670112955192e-162	Mono_CD14CD16
PYCARD	30.456293	1.9180259	3.285570079316523e-164	2.0462846257392035e-162	Mono_CD14CD16
ARPC1B	30.45047	1.1433363	6.993931921414262e-165	4.37205087495607e-163	Mono_CD14CD16
LCP1	29.968145	1.7953438	4.489415144710833e-160	2.6963699444899604e-158	Mono_CD14CD16
FAM65B	29.958607	3.503119	5.028077871503499e-158	2.967006231216093e-156	Mono_CD14CD16
OAZ1	29.933517	0.48500353	3.277805323918471e-162	2.0153717624837404e-160	Mono_CD14CD16
CD48	29.891573	2.5036185	9.952054500277234e-159	5.903600780498964e-157	Mono_CD14CD16
POU2F2	29.878119	3.2518156	1.4084530943201467e-157	8.296576671332696e-156	Mono_CD14CD16
TMSB4X	29.856869	0.3860521	1.2864645552339894e-161	7.866812472605088e-160	Mono_CD14CD16
IFITM2	29.705528	1.6780297	4.157701312858161e-158	2.4577120707972435e-156	Mono_CD14CD16
MT-ND2	29.64815	0.82704127	1.531613914878825e-157	9.00631749527524e-156	Mono_CD14CD16
RPL18	29.621208	0.48747057	2.2855648632931898e-157	1.3416345383937411e-155	Mono_CD14CD16
ATP5G2	29.6034	0.9382156	4.4323296921296934e-157	2.5972681155933546e-155	Mono_CD14CD16
LGALS2	29.471762	3.3090594	3.0110301597565235e-154	1.7372200377197997e-152	Mono_CD14CD16
MT-ND1	29.257921	0.6536593	7.4284898214284926e-155	4.2932338943947103e-153	Mono_CD14CD16
CYBB	28.673197	2.036389	1.023004986613942e-148	5.623022841593827e-147	Mono_CD14CD16
APOBEC3A	28.435053	3.482738	2.271855420800315e-145	1.2035832790636135e-143	Mono_CD14CD16
RPL7	27.799282	0.8762867	7.813507789098938e-142	4.0193638388686963e-140	Mono_CD14CD16
PFDN5	27.60143	0.73898405	1.0031609541397189e-139	5.059955866584385e-138	Mono_CD14CD16
SAMHD1	27.334093	2.1959252	5.092364063361685e-137	2.5457287055030952e-135	Mono_CD14CD16
FYB	27.326445	2.0600812	3.974383322311549e-137	1.9897900692714017e-135	Mono_CD14CD16
CASP1	26.940617	2.4629023	1.5919911651797336e-133	7.81932220401836e-132	Mono_CD14CD16
TRAPPC5	26.91031	2.5008357	3.5208580196034035e-133	1.7193013059785081e-131	Mono_CD14CD16
VCAN	26.630104	2.9762013	6.820302664331387e-131	3.264251107556559e-129	Mono_CD14CD16
DOK2	26.610662	2.7444968	1.444141835933723e-130	6.89219759489389e-129	Mono_CD14CD16
RPL10	26.217167	0.31023723	1.3673645117239186e-128	6.4617082549825685e-127	Mono_CD14CD16
RPL29	26.114805	0.44692972	1.7572181947801908e-127	8.223293035406076e-126	Mono_CD14CD16
NEAT1	25.96832	0.9660906	3.202573477688037e-127	1.496636765009996e-125	Mono_CD14CD16
RPS3A	25.952692	0.48677546	2.488020394114586e-126	1.1547019167947226e-124	Mono_CD14CD16
LILRA5	25.645233	2.7330742	8.247397712250603e-123	3.690409276448497e-121	Mono_CD14CD16
RPL41	25.593998	0.82594883	1.9361602563820713e-123	8.744903978356235e-122	Mono_CD14CD16
RPS7	25.566015	0.4262456	2.1987378306276927e-123	9.917573288509972e-122	Mono_CD14CD16
RPL37A	25.387983	0.8103839	3.5034279027735537e-122	1.5593725198950084e-120	Mono_CD14CD16
GLRX	25.338942	2.3520885	1.6772889120666043e-120	7.397195366907351e-119	Mono_CD14CD16
ATP5I	25.201498	2.3289812	2.2376258125390344e-119	9.778802091788615e-118	Mono_CD14CD16
RNF213	24.833307	2.4801698	2.4928851380046037e-116	1.0659298456843543e-114	Mono_CD14CD16
PTP4A2	24.817972	2.1606584	2.0373178223717205e-116	8.722412542184593e-115	Mono_CD14CD16
PSME2	24.508945	1.765418	2.995144736389883e-114	1.2536448043219966e-112	Mono_CD14CD16
MT-CO2	24.313753	0.41204193	1.8414278498559675e-113	7.678845293693932e-112	Mono_CD14CD16
TMA7	24.10393	1.2583277	3.9922240762373274e-111	1.6324514323390838e-109	Mono_CD14CD16
RPS23	23.950928	0.36715233	2.2558827323638346e-110	9.191017265328541e-109	Mono_CD14CD16
GMFG	23.71285	1.5338362	5.478708956597526e-108	2.1768823064103424e-106	Mono_CD14CD16
C4orf48	23.707403	2.197902	1.350316778903773e-107	5.32135363138991e-106	Mono_CD14CD16
C14orf2	23.696085	2.0002859	1.3294316725142829e-107	5.245183931346165e-106	Mono_CD14CD16
S100A10	23.6335	1.0886297	3.462332229578081e-108	1.380589611164543e-106	Mono_CD14CD16
VAMP5	23.620155	2.4110007	7.290179549137494e-107	2.839714563336864e-105	Mono_CD14CD16
RPL38	23.532421	1.1238914	9.346618911649188e-107	3.636547085555517e-105	Mono_CD14CD16
COX6B1	23.512306	1.1866146	1.4631816904153074e-106	5.686325706672822e-105	Mono_CD14CD16
NDUFB1	23.153368	2.314769	3.1267010066070467e-103	1.1877233789923092e-101	Mono_CD14CD16
ACTB	23.131243	0.33205917	3.637825232415512e-104	1.3928736747841847e-102	Mono_CD14CD16
