names	scores	logfoldchanges	pvals	pvals_adj	cluster
C1orf54	105.10078	8.146487	0.0	0.0	cDC1_CLEC9A
CPNE3	79.13488	7.337722	0.0	0.0	cDC1_CLEC9A
CLEC9A	77.6226	9.032201	0.0	0.0	cDC1_CLEC9A
DNASE1L3	71.390625	11.171658	1.1282826e-316	2.9020117425e-314	cDC1_CLEC9A
LGALS2	67.525566	5.995252	1.4698946149e-313	3.723806703341e-311	cDC1_CLEC9A
CPVL	62.596928	4.841825	1.0613374572430129e-295	2.3373009336173905e-293	cDC1_CLEC9A
SNX3	61.71711	3.8252172	5.867741242805821e-293	1.2592845441726074e-290	cDC1_CLEC9A
HLA-DQB1	61.123577	4.003389	1.012703509798168e-298	2.32122667068976e-296	cDC1_CLEC9A
HLA-DQA1	60.909977	3.9739342	1.0009541969209969e-299	2.310010322675073e-297	cDC1_CLEC9A
WDFY4	60.345562	7.680702	1.881837872771347e-275	3.56217108343583e-273	cDC1_CLEC9A
PPA1	59.48969	4.9643755	5.576932067749902e-281	1.0861800525477757e-278	cDC1_CLEC9A
LSP1	59.14937	3.0536187	5.8126245544596706e-294	1.2635520757288009e-291	cDC1_CLEC9A
IDO1	57.494194	9.373139	1.3466746876709794e-262	2.4264629372398918e-260	cDC1_CLEC9A
HLA-DPB1	50.634956	3.218507	9.782764580886601e-243	1.5051163004036216e-240	cDC1_CLEC9A
MZT2A	50.29212	5.265786	4.3649583706158585e-234	6.339349454290118e-232	cDC1_CLEC9A
TXN	49.607265	4.271096	4.0936624885005826e-234	5.9710763587679064e-232	cDC1_CLEC9A
CNN2	49.267204	4.116805	7.033598581269067e-233	1.0127780794755553e-230	cDC1_CLEC9A
RAB7B	48.462757	7.4255524	1.813660034276162e-222	2.4153937231186165e-220	cDC1_CLEC9A
RGS10	47.55806	2.6876929	7.639349162280734e-230	1.0815135742600297e-227	cDC1_CLEC9A
HLA-DRB1	47.423584	2.3017366	6.62665519118207e-228	9.188416461386365e-226	cDC1_CLEC9A
HLA-DPA1	47.42296	2.8704355	5.954357949999481e-226	8.155534014930184e-224	cDC1_CLEC9A
TACSTD2	45.307285	10.764839	1.4809490159279234e-206	1.8014114130929766e-204	cDC1_CLEC9A
HLA-DOB	45.138275	7.57354	4.0282640533589816e-206	4.882313993304947e-204	cDC1_CLEC9A
UCP2	45.055614	3.3278875	1.5933200775022212e-213	2.0258613845796165e-211	cDC1_CLEC9A
