names	scores	logfoldchanges	pvals	pvals_adj	cluster
LAMP3	143.45923	11.480611	0.0	0.0	cDC3_LAMP3
CCR7	88.54365	10.840181	0.0	0.0	cDC3_LAMP3
BIRC3	73.44213	6.672558	0.0	0.0	cDC3_LAMP3
FSCN1	71.732925	9.618649	0.0	0.0	cDC3_LAMP3
GSN	71.24721	4.9563994	0.0	0.0	cDC3_LAMP3
TXN	67.908615	5.891525	0.0	0.0	cDC3_LAMP3
MARCKSL1	64.67081	6.540933	2.961466447e-315	1.66306084118e-312	cDC3_LAMP3
IL7R	59.8292	8.901538	2.534571115548529e-287	1.1090888203544434e-284	cDC3_LAMP3
SYNGR2	58.389057	3.441152	1.2990117409411347e-295	6.164634028066281e-293	cDC3_LAMP3
LSP1	53.62974	3.3598325	9.192938960269556e-272	3.480302082329465e-269	cDC3_LAMP3
DAPP1	51.22102	6.8048406	3.077777187563461e-247	9.342578788987681e-245	cDC3_LAMP3
IL2RG	50.656624	5.324381	2.5792949696457648e-247	7.900614973385854e-245	cDC3_LAMP3
NUB1	50.268005	6.2800465	3.007875044542006e-243	8.812812326156377e-241	cDC3_LAMP3
PPA1	47.026012	5.2403994	1.4018180153502033e-228	3.633296631477673e-226	cDC3_LAMP3
CD74	46.943867	1.5780423	1.1530647277608738e-241	3.3206293108696478e-239	cDC3_LAMP3
GPR157	46.75074	7.38771	8.941635110678917e-224	2.167478082152629e-221	cDC3_LAMP3
UBD	46.710556	10.531859	6.5572024381848255e-223	1.5669388578170178e-220	cDC3_LAMP3
CST7	46.32219	7.536429	5.020459517061758e-222	1.1829326081669851e-219	cDC3_LAMP3
IL32	46.221676	8.391442	9.9243159054158e-221	2.3221520841463885e-218	cDC3_LAMP3
GPX4	45.96924	2.124063	1.570202161664639e-229	4.101270669389794e-227	cDC3_LAMP3
IDO1	45.935513	9.246795	3.6787324129115375e-219	8.489808898674065e-217	cDC3_LAMP3
HINT1	45.446743	2.832139	1.4776881996129252e-225	3.688090829463548e-223	cDC3_LAMP3
GRSF1	45.4377	5.7221127	1.6512800541875253e-218	3.784913615360169e-216	cDC3_LAMP3
CSF2RA	45.341034	4.7180486	7.999765300362258e-220	1.858924772623489e-217	cDC3_LAMP3
ALDH2	44.472168	3.878373	2.501917757417586e-217	5.619974461228543e-215	cDC3_LAMP3
STK4	43.93899	4.516083	2.434812141166046e-212	5.1923139420537185e-210	cDC3_LAMP3
DUSP5	43.887085	5.7402616	1.727908944502325e-210	3.6161592531715114e-208	cDC3_LAMP3
CLIC2	43.87793	6.4250627	4.2111632914930924e-209	8.704965395310935e-207	cDC3_LAMP3
RFTN1	43.034397	5.4199843	1.8940819815656383e-205	3.754070487463095e-203	cDC3_LAMP3
LAD1	42.67341	11.932604	1.37692050134303e-201	2.591841305712405e-199	cDC3_LAMP3
FNBP1	42.59426	4.364309	7.403599947693651e-205	1.4503307944045923e-202	cDC3_LAMP3
RAB9A	42.31823	5.831128	3.5239142026580506e-201	6.596375841353353e-199	cDC3_LAMP3
CFLAR	42.038998	3.0248842	7.833650803611187e-206	1.5618167466087298e-203	cDC3_LAMP3
RASSF4	41.85264	4.846881	4.546940519856347e-200	8.417835927254931e-198	cDC3_LAMP3
CRIP1	40.635212	4.322086	5.852957970976434e-195	1.0379450835477892e-192	cDC3_LAMP3
KIF2A	40.394104	6.699786	6.156503453666809e-190	1.0637806531684589e-187	cDC3_LAMP3
