names	scores	logfoldchanges	pvals	pvals_adj	cluster
JCHAIN	119.94826	12.831558	0.0	0.0	pDC_LILRA4
GZMB	111.67285	15.490619	0.0	0.0	pDC_LILRA4
LILRA4	102.50893	12.626392	0.0	0.0	pDC_LILRA4
ITM2C	98.26674	9.455015	0.0	0.0	pDC_LILRA4
IL3RA	95.972466	8.676507	0.0	0.0	pDC_LILRA4
C12orf75	93.29099	10.507162	0.0	0.0	pDC_LILRA4
SEC61B	92.91576	3.921688	0.0	0.0	pDC_LILRA4
TSPAN13	91.559654	11.258794	0.0	0.0	pDC_LILRA4
ALOX5AP	87.52551	5.192364	0.0	0.0	pDC_LILRA4
IRF7	83.5896	6.47063	0.0	0.0	pDC_LILRA4
PLD4	80.50361	7.12437	0.0	0.0	pDC_LILRA4
PTPRCAP	78.507065	10.4668	0.0	0.0	pDC_LILRA4
PLP2	78.15634	5.3577857	0.0	0.0	pDC_LILRA4
PPP1R14B	74.947815	8.381621	0.0	0.0	pDC_LILRA4
TCF4	72.670334	7.781445	0.0	0.0	pDC_LILRA4
APP	72.38063	6.630976	0.0	0.0	pDC_LILRA4
CLIC3	70.467804	12.246259	0.0	0.0	pDC_LILRA4
C1orf186	69.348076	8.993618	0.0	0.0	pDC_LILRA4
SERPINF1	68.44524	7.311774	0.0	0.0	pDC_LILRA4
SPCS1	68.010635	4.2449675	0.0	0.0	pDC_LILRA4
UGCG	67.33546	7.3680296	0.0	0.0	pDC_LILRA4
PLAC8	67.01736	6.459228	0.0	0.0	pDC_LILRA4
IRF4	65.88484	8.98405	0.0	0.0	pDC_LILRA4
HSP90B1	62.561127	3.8807056	0.0	0.0	pDC_LILRA4
DERL3	61.663425	10.714843	1.7357330703042253e-303	2.00286952297365e-301	pDC_LILRA4
SELL	61.301147	6.5679083	7.744841663360616e-307	9.060926909905299e-305	pDC_LILRA4
MZB1	59.69582	11.531762	3.201492873387647e-294	3.4574070793565183e-292	pDC_LILRA4
CXCR3	59.57307	10.710853	8.733106780028749e-294	9.371124198926391e-292	pDC_LILRA4
IGKC	57.00099	8.547636	2.432000543630896e-282	2.438804354675578e-280	pDC_LILRA4
TPM2	56.849014	10.174181	7.45075286960949e-281	7.427386603213674e-279	pDC_LILRA4
IRF8	56.16259	5.9361653	4.559684437028623e-283	4.5998205814743243e-281	pDC_LILRA4
GPR183	54.78684	5.7167	4.166679632525347e-279	4.129179515832619e-277	pDC_LILRA4
HINT1	54.40246	3.0829859	3.064225895478437e-284	3.119215326956207e-282	pDC_LILRA4
PARK7	54.188538	3.288972	6.842545773678899e-282	6.841327516271123e-280	pDC_LILRA4
MAP1A	53.59918	10.661198	1.024031481932926e-264	9.032386584358117e-263	pDC_LILRA4
CLEC4C	52.924328	12.785143	3.3937921662982773e-261	2.917102889062606e-259	pDC_LILRA4
STMN1	52.590054	5.851267	9.049394377871306e-264	7.961104286370647e-262	pDC_LILRA4
SPIB	52.313686	8.233381	5.993528055497144e-259	5.086799352693219e-257	pDC_LILRA4
