"CD4 - CCR7","CD4 - FOXP3","CD4 - GZMB/PRF1","CD4 - GZMK","CD4 - IL7R"
"TMIGD2","TNFRSF9","FGFBP2","CRTAM","CD82"
"BACH2","TNFRSF1B","GZMH","PRSS35","PTGDR2"
"ALOX12B","SMCHD1","ZEB2","XCL2","PTGER4"
"ATP6AP1L","ZC3H6","CST7","HIST1H2AC","ARL4A"
"HEXIM1","IL2RA","PRF1","CD81","PTPN13"
"TCEA3","FOXP3","CMKLR1","REV3L","SESN1"
"CDCA7L","ZNF101","NUAK1","SPRY2","PHTF2"
"ANKEF1","HSP90AB1","PAK6","OGFRL1","RCBTB2"
"SDK2","TFRC","NKG7","PTPRE","SLC4A7"
"SLC2A6","IER2","PRSS23","FAM49A","PDE4A"
"SYNE3","JAKMIP1","EFHD2","LYAR","CDO1"
"MXRA7","ISG15","PDGFD","ME1","N4BP2"
"MT1X","HLA-DQB1","GZMB","COL6A2","B3GALT2"
"CD93","METRNL","CHST12","IER5","LINC00324"
"LILRB2","UTS2","FAM131B","GZMK","LTK"
"RBM11","ENTPD1","SLAMF7","GAS7","TIMP1"
"LRRIQ3","RTKN2","PTGDS","CXXC5","ZNF720"
"LCAT","TBC1D4","SPON2","CTSD","PCSK1N"
"SORCS3","IKZF2","CX3CR1","CLIC1","LMO4"
"PDLIM7","CSGALNACT1","PLOD1","IKZF3","NCAPG2"
"IGF1R","GADD45A","GNLY","TGFBR3","MAP7D3"
"RBP7","BATF","IFITM2","DOCK7","REL"
"TCEAL2","ICOS","TTC38","CXCR4","FKBP5"
"STX3","CCR3","LATS2","ITGB2","NEK6"
"B3GNT8","GBP2","GPR153","XCL1","TBXAS1"
"RNF175","SEMA3G","APOBEC3G","TENM1","ZNF331"
"EPHA1-AS1","DUSP4","CYP2F1","CMC1","NFKBIZ"
"ADTRP","HIST1H1C","FASLG","CDC6","DIAPH2"
"IRF8","IL32","NAMPT","COTL1","RBPJ"
"NNT-AS1","C12orf43","SLAMF8","DTHD1","CCR10"
"PADI4","ARHGEF40","NME8","LGR6","CTSA"
"AHI1","CEACAM4","GPR141","CRIM1","ARRDC3"
"ZNF667","PTTG1","NMUR1","CNR2","B3GNT3"
"PDK1","CASP3","C1orf21","NKX3-1","E2F3"
"USP51","HLA-DOA","ASCL2","PGLYRP2","CDC14A"
"CYSLTR1","MBOAT7","S1PR5","TPRG1","NPDC1"
"AIF1","ZBTB32","KLRD1","TMEM170B","RORC"
"TMEM44-AS1","SHPRH","XPNPEP2","TMEM171","FUT7"
"KRT72","HIST1H2BN","EIF4G3","LINC00299","FZD3"
"TLR2","ARHGEF12","LILRB1","LRRC24","EGR1"
"ARHGAP32","DOCK5","GLB1L2","DIXDC1","FXYD1"
"CCNJ","PPP2R2B","CLIC3","GALNT6","ZDHHC11B"
"DPP4","DLGAP1-AS2","ADRB2","CDYL2","PLXNC1"
"AC024940.1","SYNE2","HCST","ZMAT1","SMC2"
"PTPRF","GLCCI1","MAP3K8","CXCR6","IL4I1"
"PLA2G16","TIGIT","MT-ND5","PRELID2","ITGA4"
"KSR1","SLFN5","TMSB10","ATG2A","GPR35"
"AC068620.1","TTN","HOPX","GZMM","LGALS3"
"MSRB3","PRDM1","S100A2","AUTS2","IRS2"
"HES7","BIRC3","CES1","SLC4A8","RGCC"
