"CD4-CCR7","CD4-CXCL13","CD4-CXCR4","CD4-FOXP3","CD4-MX1"
"EEF1A1","CXCL13","CCL5","IL32","DNAJB1"
"KLF2","MT2A","ZFP36L2","CD74","ISG15"
"PABPC1","SRGN","CXCR4","TNFRSF4","IFI6"
"MALAT1","GAPDH","CD69","BATF","IFITM1"
"CCR7","ITM2A","MTRNR2L12","FOXP3","LY6E"
"GIMAP7","CCL4","ANXA1","SAT1","IFITM2"
"SELL","CCL5","IL7R","CARD16","MX1"
"TPT1","CD74","GZMA","TIGIT","MT2A"
"TCF7","TMSB10","ZFP36","TNFRSF18","TMSB10"
"TXNIP","GZMB","LINC01871","CTSC","IFI44L"
"LEF1","COTL1","VIM","GAPDH","ERN1"
"PASK","ALOX5AP","KLRB1","S100A4","ISG20"
"LINC00861","NKG7","FTH1","CTLA4","TXNIP"
"GIMAP4","NR3C1","JUN","IL2RA","H3F3B"
"FCMR","IFITM1","ID2","PKM","STAT1"
"SARAF","HMGB2","ALOX5AP","TNFRSF1B","RNF213"
"NOSIP","FABP5","CRIP1","IFI6","LGALS1"
"FYB1","RBPJ","CD52","UCP2","JUN"
"EEF1G","IFITM2","CD99","LINC01943","SAT1"
"LIMD2","GZMA","SH3BGRL3","DUSP4","UBC"
"TXK","H2AFZ","BTG1","ACTB","PPP1R2"
"IFITM1","PDCD1","TNFAIP3","CD27","IFI16"
"ZRANB2","SH3BGRL3","S100A11","LGALS1","TMSB4X"
"PIK3IP1","FKBP5","S100A10","CD7","KLF6"
"TTC3","ACTG1","CAPG","LTB","VIM"
"GPR183","IFITM3","KLF6","TBC1D4","XAF1"
"RIC3","LAG3","CD40LG","ENTPD1","S100A10"
"FTL","MIF","TSC22D3","PIM2","TRIM22"
"TC2N","PFN1","GZMK","PMCH","LCP1"
"JUNB","CD96","PARP8","B2M","GZMA"
"MYC","HMGB1","CD96","LY6E","IFIT1"
"LIME1","STMN1","CXCR6","GLRX","IFIT3"
"SERINC5","PSME2","CLEC2B","UGP2","TNFSF10"
"IL6ST","MTHFD2","HOPX","LAIR2","ANXA1"
"SESN3","NAP1L4","CKLF","PFN1","HMGB2"
"LINC02273","SMS","CITED2","SOD1","CAPG"
"HIST1H4C","MT1E","DUSP1","PMAIP1","NEAT1"
"FOS","PTPRC","LCP1","NEAT1","CD52"
"ARMH1","CD2","S100A6","ENO1","S100A11"
"SNHG9","CD3D","IFITM2","SLAMF1","IRF7"
"BCL2A1","SNX9","ERN1","SPOCK2","RSAD2"
"C1orf162","ACTB","GPR171","ICA1","GZMK"
"SATB1","HMGN2","LEPROTL1","MIR4435-2HG","ALOX5AP"
"LTB","TMSB4X","DUSP2","DNPH1","STK17A"
"LEPROTL1","S100A11","GLUL","TNFRSF9","BST2"
"TMEM71","CHN1","CCNH","CORO1B","SH3BGRL3"
"IER2","RNF19A","GPR65","ACP5","GIMAP4"
"ILF3-DT","SMCO4","IFNGR1","ICOS","IFITM3"
"BCL11B","TOX","HMGB1","TYMP","CACYBP"
,"SOD1","XBP1","LSP1","CHORDC1"
