Naïve,Activation:Effector function,Exhaustion,TCR Signaling,Cytotoxicity,Cytokine/Cytokine receptor,Chemokine/Chemokine receptor,Senescence,Anergy,NFKB Signaling,Stress response,MAPK Signaling,Adhesion,IFN Response,Oxidative phosphorylation,Glycolysis,Fatty acid metabolism,Pro-apoptosis,Anti-apoptosis
IL7R,FAS,PDCD1,CALM1,GZMA,CSF1,CCR4,KLRK1,NT5E,NFKB1,HIKESHI,MAP2K1,ITGA1,IFIT1,ATP1B3,SLC2A3,ACAA1,BCL2L11,BCL11B
CCR7,FASLG,LAYN,CALM2,GZMB,IL10RA,CCR5,IFNA1,IZUMO1R,NFKB2,P4HB,MAP2K2,ITGA4,IFIT2,ATP2A3,SLC2A8,ACADM,BID,BCL2L1
SELL,CD44,HAVCR2,CALM3,GZMH,IL16,CCR7,IFNAR1,LAG3,NFKBIA,UBA52,MAP2K3,ITGAE,IFIT3,ATP2B1,PFKFB3,ACADVL,BIN1,BAG3
FOXO1,CD69,LAG3,CAST,GZMK,IL17RA,CXCR3,TAB1,NRP1,NFKBIB,MAPK1,MAP3K4,ITGAL,IFIT5,ATP2B4,ALDOA,ACSL5,BIN2,BAG4
KLF2,CD38,CD244,CD247,GZMH,IL18RAP,CXCR4,SESN2,DGKA,NFKBIZ,RPA2,MAP3K5,ITGAM,STAT1,ATP5A1,ENO1,ALDH16A1,BAX,BIRC3
KLF3,NKG7,CTLA4,CD3D,GNLY,IL21R,CXCR5,,CBLB,CHUK,RPA3,MAP3K8,ITGB1,STAT2,ATP5B,GAPDH,ALDH9A1,BAK1,GADD45B
LEF1,KLRB1,LILRB1,CD3E,PRF1,IL2RB,CXCR6,,RNF128,IKBKB,TNRC6A,MAP4K1,ITGB2,MX1,ATP5C1,GPI,ECH1,CASP8,
TCF7,KLRD1,TIGIT,CD3G,IFNG,IL2RG,CCL3,,ITCH,IKBKG,TNRC6B,MAP4K5,ITGB7,IRF1,ATP5D,PGAM1,ECHS1,CASP3,
ACTN1,KLRF1,TOX,CSK,TNF,IL32,CCL4,,NFATC2,REL,TNRC6C,MAPK1,SELL,IRF4,ATP5E,PGK1,HADHA,,
FOXP1,KLRG1,VSIR,DOK1,SERPINB1,IL9R,CCL4L1,,EGR2,RELA,NUP210,MAPK3,SELPLG,IRF7,ATP5EP2,PKM,HSD17B10,,
,KLRK1,BTLA,DOK2,SERPINB6,ADAM10,CCL4L2,,EGR3,RELB,RBX1,MAPK11,S1PR1,IRF8,ATP5F1,TPI1,SLC27A2,,
,FCGR3A,ENTPD1,FYN,SERPINB9,ADAM8,CCL5,,NR4A1,,UBB,MAPK13,VCAM1,IRF9,ATP5F1A,GYG1,DECR1,,
,CX3CR1,CD160,LCK,CTSA,METRNL,CXCL13,,TOB1,,UBC,MAPK14,ICAM2,ISG15,ATP5F1B,MDH1,PEX16,,
,CD300A,LAIR1,NFATC2,CTSB,CD70,CXCL8,,,,CREBBP,MAPK1IP1L,ICAM3,ISG20,ATP5F1C,MDH2,SCP2,,
,FGFBP2,,NFATC1,CTSC,,XCL1,,,,ETS1,MAPKAPK3,,IFITM1,ATP5F1D,LDHA,,,
,ID2,,NFATC4,CTSD,,XCL2,,,,LAMTOR1,MAPK8,,IFITM2,ATP5F1E,LDHB,,,
,ID3,,NFATC3,CTSW,,,,,,EED,MAPK9,,IFITM3,ATP5G2,ADH5,,,
,PRDM1,,PLEK,CST3,,,,,,LAMTOR2,MAP2K7,,OAS1,ATP5G3,IDH2,,,
,RUNX3,,PAG1,CST7,,,,,,HSP90AA1,MAPK10,,OAS2,ATP5H,,,,
,TBX21,,PTPN11,CSTB,,,,,,RBBP4,MAP3K7,,OAS3,ATP5I,,,,
,ZEB2,,PTPN2,LAMP1,,,,,,LAMTOR4,,,JAK1,ATP5IF1,,,,
,BATF,,PTPN22,LAMP3,,,,,,LAMTOR5,,,JAK2,ATP5J,,,,
,IRF4,,PTPN4,CAPN2,,,,,,PSMB10,,,SOCS1,ATP5J2,,,,
,NR4A1,,PTPN6,,,,,,,CDKN1A,,,SOCS3,ATP5L,,,,
,NR4A2,,PTPN7,,,,,,,ANAPC11,,,TRIM14,ATP5MC1,,,,
,NR4A3,,PTPRC,,,,,,,PSMA1,,,TRIM21,ATP5MC2,,,,
,PBX3,,PTPRCAP,,,,,,,ATG4D,,,TRIM22,ATP5MC3,,,,
,ZNF683,,S100A10,,,,,,,PSMA2,,,APOL1,ATP5MD,,,,
,HOPX,,S100A11,,,,,,,WIPI2,,,APOL2,ATP5ME,,,,
,FOS,,S100A13,,,,,,,PSMA3,,,APOL6,ATP5MF,,,,
,FOSB,,S100A4,,,,,,,TFDP2,,,IFNGR1,ATP5MG,,,,
,JUN,,S100A6,,,,,,,PSMA4,,,GBP1,ATP5MPL,,,,
,JUNB,,ZAP70,,,,,,,ATM,,,GBP2,ATP5O,,,,
,JUND,,DUSP1,,,,,,,CYCS,,,GBP4,ATP5PB,,,,
,STAT1,,DUSP2,,,,,,,PSMA5,,,GBP5,ATP5PD,,,,
,STAT2,,DUSP4,,,,,,,WDR45,,,GBP3,ATP5PF,,,,
,STAT5A,,DUSP5,,,,,,,ANAPC16,,,BST2,ATP6AP1,,,,
,STAT6,,DUSP10,,,,,,,PSMA6,,,CMPK2,ATP6AP2,,,,
,STAT4,,LAT,,,,,,,EHMT1,,,DDX58,ATP6V0B,,,,
,EOMES,,PLCG1,,,,,,,PSMA7,,,DDX60,ATP6V0C,,,,
,,,PLCG2,,,,,,,EHMT2,,,DDX60L,ATP6V0D1,,,,
,,,PPP3CA,,,,,,,TERF1,,,IFI30,ATP6V0E1,,,,
,,,PPP3CC,,,,,,,PSMC1,,,IFI35,ATP6V0E2,,,,
,,,FOS,,,,,,,ATR,,,IFI44,ATP6V1D,,,,
,,,FOSB,,,,,,,PSMC3,,,IFI44L,ATP6V1F,,,,
,,,FOSL1,,,,,,,SOD1,,,IFI6,ATP6V1G1,,,,
,,,FOSL2,,,,,,,PSMC4,,,IFIH1,ATP8B2,,,,
,,,JUN,,,,,,,PSMC5,,,PARP10,ATP8B4,,,,
,,,JUNB,,,,,,,PSMC6,,,PARP12,COX16,,,,
,,,JUND,,,,,,,PSME1,,,PARP14,COX17,,,,
,,,NR4A1,,,,,,,ATG3,,,,COX4I1,,,,
,,,NR4A2,,,,,,,NCF1,,,,COX5A,,,,
,,,NR4A3,,,,,,,PSME2,,,,COX5B,,,,
,,,BATF,,,,,,,ATG5,,,,COX6A1,,,,
,,,IRF4,,,,,,,CHMP2A,,,,COX6B1,,,,
,,,SH2D2A,,,,,,,CHMP2B,,,,COX6C,,,,
,,,,,,,,,,GSK3B,,,,COX7A2,,,,
,,,,,,,,,,RPS19BP1,,,,COX7B,,,,
,,,,,,,,,,TPR,,,,COX7C,,,,
,,,,,,,,,,MDM4,,,,COX8A,,,,
,,,,,,,,,,ELOB,,,,CYC1,,,,
,,,,,,,,,,CDC26,,,,MT.ATP6,,,,
,,,,,,,,,,ELOC,,,,MT.ATP8,,,,
,,,,,,,,,,ST13,,,,MT.CO1,,,,
,,,,,,,,,,RPS6KA1,,,,MT.CO2,,,,
,,,,,,,,,,EEF1A1,,,,MT.CO3,,,,
,,,,,,,,,,RPS6KA3,,,,MT.CYB,,,,
,,,,,,,,,,CHMP4A,,,,MT.ND1,,,,
,,,,,,,,,,DNAJB1,,,,MT.ND2,,,,
,,,,,,,,,,CAMK2G,,,,MT.ND3,,,,
,,,,,,,,,,RPS27A,,,,MT.ND4,,,,
,,,,,,,,,,TXN2,,,,MT.ND4L,,,,
,,,,,,,,,,PRDX1,,,,MT.ND5,,,,
,,,,,,,,,,PRDX2,,,,MT.ND6,,,,
,,,,,,,,,,DNAJB6,,,,NDUFA1,,,,
,,,,,,,,,,FKBP4,,,,NDUFA10,,,,
,,,,,,,,,,PRDX3,,,,NDUFA11,,,,
,,,,,,,,,,MAP2K3,,,,NDUFA12,,,,
,,,,,,,,,,MTMR14,,,,NDUFA13,,,,
,,,,,,,,,,ATG12,,,,NDUFA2,,,,
,,,,,,,,,,PRDX5,,,,NDUFA3,,,,
,,,,,,,,,,RHEB,,,,NDUFA4,,,,
,,,,,,,,,,PRDX6,,,,NDUFA5,,,,
,,,,,,,,,,GSTP1,,,,NDUFA6,,,,
,,,,,,,,,,ATG14,,,,NDUFAB1,,,,
,,,,,,,,,,RELA,,,,NDUFAF3,,,,
,,,,,,,,,,GPX1,,,,NDUFAF4,,,,
,,,,,,,,,,VHL,,,,NDUFAF8,,,,
,,,,,,,,,,HSPA1A,,,,NDUFB10,,,,
,,,,,,,,,,UBE2D1,,,,NDUFB11,,,,
,,,,,,,,,,TERF2IP,,,,NDUFB2,,,,
,,,,,,,,,,HSPA1B,,,,NDUFB3,,,,
,,,,,,,,,,UBE2D2,,,,NDUFB4,,,,
,,,,,,,,,,TXN,,,,NDUFB6,,,,
,,,,,,,,,,UBE2D3,,,,NDUFB7,,,,
,,,,,,,,,,HSPH1,,,,NDUFB8,,,,
,,,,,,,,,,CYBA,,,,NDUFB9,,,,
,,,,,,,,,,CDK4,,,,NDUFC1,,,,
,,,,,,,,,,HSF1,,,,NDUFC2,,,,
,,,,,,,,,,CDK6,,,,NDUFS2,,,,
,,,,,,,,,,MAPKAPK3,,,,NDUFS3,,,,
,,,,,,,,,,CITED2,,,,NDUFS5,,,,
,,,,,,,,,,MAP1LC3B,,,,NDUFS6,,,,
,,,,,,,,,,PSMD12,,,,NDUFS7,,,,
,,,,,,,,,,HIF1A,,,,NDUFS8,,,,
,,,,,,,,,,HMGA1,,,,NDUFV1,,,,
,,,,,,,,,,PSMD13,,,,NDUFV2,,,,
,,,,,,,,,,MINK1,,,,SDHA,,,,
,,,,,,,,,,PSMD14,,,,SDHB,,,,
,,,,,,,,,,HSP90AB1,,,,TCIRG1,,,,
,,,,,,,,,,PTGES3,,,,UQCRB,,,,
,,,,,,,,,,CXCL8,,,,UQCRC1,,,,
,,,,,,,,,,HSBP1,,,,UQCRC2,,,,
,,,,,,,,,,NFKB1,,,,UQCRFS1,,,,
,,,,,,,,,,UVRAG,,,,UQCRH,,,,
,,,,,,,,,,CAT,,,,UQCRQ,,,,
,,,,,,,,,,PSMB1,,,,SURF1,,,,
,,,,,,,,,,CDKN2C,,,,SURF4,,,,
,,,,,,,,,,PSMB2,,,,,,,,
,,,,,,,,,,CDKN2D,,,,,,,,
,,,,,,,,,,FOS,,,,,,,,
,,,,,,,,,,PSMB3,,,,,,,,
,,,,,,,,,,CCS,,,,,,,,
,,,,,,,,,,JUN,,,,,,,,
,,,,,,,,,,GABARAPL1,,,,,,,,
,,,,,,,,,,GABARAPL2,,,,,,,,
,,,,,,,,,,PSMB6,,,,,,,,
,,,,,,,,,,KDM6B,,,,,,,,
,,,,,,,,,,PSMB8,,,,,,,,
,,,,,,,,,,PSMD2,,,,,,,,
,,,,,,,,,,TNIK,,,,,,,,
,,,,,,,,,,PSMB9,,,,,,,,
,,,,,,,,,,PSMD3,,,,,,,,
,,,,,,,,,,RANBP2,,,,,,,,
,,,,,,,,,,ATOX1,,,,,,,,
,,,,,,,,,,SEM1,,,,,,,,
,,,,,,,,,,PSMD6,,,,,,,,
,,,,,,,,,,GABARAP,,,,,,,,
,,,,,,,,,,PSMD7,,,,,,,,
,,,,,,,,,,PSMF1,,,,,,,,
,,,,,,,,,,CHMP3,,,,,,,,
,,,,,,,,,,STAT3,,,,,,,,
,,,,,,,,,,PSMD8,,,,,,,,
,,,,,,,,,,TINF2,,,,,,,,
,,,,,,,,,,PSMD9,,,,,,,,
,,,,,,,,,,CHMP7,,,,,,,,
,,,,,,,,,,CCAR2,,,,,,,,
,,,,,,,,,,HSPA4,,,,,,,,
,,,,,,,,,,YWHAE,,,,,,,,
,,,,,,,,,,BAG1,,,,,,,,
