"G1-CD8-CD27","G2-CD8-GNLY","G3-CD8-ZNF683","G4-CD8-CCL3","G5-CD8-MKI67","G7-gdT-TRDC"
"CD8A","GNLY","LTB","CCL4","LDHA","TYROBP"
"GZMK","GZMB","CD52","CCL3","TPI1","FCER1G"
"CD8B","GZMH","S100A4","CCL4L2","GAPDH","KLRB1"
"CD27","FGFBP2","ZNF683","GNLY","PGK1","TRDC"
"CD3D","MAL","CD8A","GZMB","GPI","CCL3"
"LYAR","ZNF683","TIMP1","NKG7","ENO1","CMC1"
"DUSP2","IFITM2","CD8B","CD69","MIF","GSTP1"
"GZMM","PRF1","COTL1","TNF","SLC2A3","CTSW"
"GZMH","ID2","S100A6","ZFP36L1","PKM","IL2RB"
,"LGALS3","IFITM1","CST7","C4orf3","FCGR3A"
,"CTSW","CD3D","CCL5","PGAM1","KLRD1"
,"NKG7","SH3BGRL3","EGR1","BNIP3L","SRGN"
,"S100A4","LGALS3","FOS","FAM162A","PRF1"
,"CD52","GSTK1","TRDC","ZFP36L2","XCL2"
,"NCR3","TMSB10","PRF1","SYTL3","GNLY"
,"S100A6","EMP3","HOPX","DDIT4","CEBPD"
,"SH3BGRL3","EVL","DUSP2","ALDOA","HOPX"
,"CCL5","LRRN3","XCL2","CLEC2B","NKG7"
,"TMSB10","ITGB7","CTSW","AK4","CCL4L2"
,"CX3CR1","IL32","SRGN","HSP90AA1","KIR3DL2"
,,"ITGA4","CCL3L1","PNRC1","CST3"
,,"CXCR3","KLRD1","BTG1","KIR2DL4"
,,"CISH","ID2","ENO2","XCL1"
,,"LGALS1","CSF2","P4HA1","CST7"
,,"KLF2",,"HILPDA","SH2D1B"
,,"MOSPD3",,"TAGLN2","PTGDR"
,,"OSM",,"ANXA1","GZMK"
,,"CAPG",,"BNIP3","KLRC1"
,,"SIT1",,"ERO1A","GZMB"
,,"CD7",,"FAM3C","CCL4"
,,"TRAC",,"HSPD1","CD63"
,,"CD3G",,"HSP90AB1","CLIC3"
,,"ACTB",,"CST7","CD7"
,,"LST1",,"TNFRSF1B","CD74"
,,"FLT3LG",,"CYTIP","TNFRSF18"
,,"GLIPR2",,"VIM","IFITM2"
,,"UCP2",,"CD96","CCL5"
,,"IFITM2",,"NPM1","SH2D1A"
,,"S100A10",,"PDE4D","GNPTAB"
,,"S100A11",,"ZNF292","BST2"
,,"CYBA",,"PLIN2","NCR3"
,,"PIM1",,"GZMA","NCAM1"
,,"LY6E",,"COTL1","LAT2"
,,"SLAMF1",,"DNAJB1","HLA-DRB1"
,,"S1PR4",,"ZFAS1","IFITM3"
,,"CORO1A",,"LSP1","EOMES"
,,"CLEC2D",,"EIF4A2","XBP1"
,,"CD70",,"PTMA","AOAH"
,,"ISG20",,"PCBP2","CD247"
,,"CFL1",,"MRPS6","MT-ND2"
