cDC1_CLEC9A,cDC2_CD1C,cDC3_LAMP3,Macro_C1QC,Macro_FN1,Macro_GPNMB,Macro_IL1B,Macro_INHBA,Macro_ISG15,Macro_LYVE1,Macro_NLRP3,Macro_SPP1,Mast_KIT,Mono_CD14,Mono_CD14CD16,Mono_CD16,pDC_LILRA4
C1orf54,HLA-DQB1,LAMP3,C1QC,HLA-DPB1,C1QC,HLA-DPB1,IL1B,LAP3,C1QC,IL1B,MIF,CPA3,S100A9,RPL39,LINC01272,JCHAIN
CPNE3,HLA-DQA1,CCR7,C1QB,HLA-DRA,C1QA,HLA-DRA,CXCL8,PSME2,C1QA,SOD2,SPP1,TPSAB1,S100A8,TMSB10,LST1,GZMB
CLEC9A,HLA-DPB1,BIRC3,C1QA,OLR1,C1QB,HLA-DQA1,BCL2A1,GBP1,C1QB,S100A8,FN1,TPSB2,FCN1,RPL34,FCGR3A,LILRA4
DNASE1L3,CD74,FSCN1,APOE,CD74,CD74,HLA-DPA1,IER3,TYMP,MRC1,VCAN,CTSL,TPSD1,LYZ,FCN1,CD52,ITM2C
LGALS2,HLA-DRA,GSN,CD74,HLA-DPA1,HLA-DPA1,CD74,PLAUR,IFITM3,CD163,PLAUR,GPNMB,CLU,VCAN,RPL37,SERPINA1,IL3RA
CPVL,HLA-DPA1,TXN,DAB2,HLA-DMA,HLA-DPB1,HLA-DQB1,C15orf48,C15orf48,FOLR2,CXCL8,GAPDH,MS4A2,S100A12,AIF1,LILRB2,C12orf75
SNX3,HLA-DRB1,MARCKSL1,A2M,C3,APOE,HLA-DMA,TRAF1,WARS,SEPP1,S100A9,CTSB,HPGDS,S100A6,RPS28,LILRA5,SEC61B
HLA-DQB1,FCER1A,IL7R,SLCO2B1,HLA-DRB1,HLA-DRA,HLA-DRB1,CCL4,MT2A,RNASE1,NAMPT,SLC11A1,VWA5A,S100A4,CTSS,IFITM2,TSPAN13
HLA-DQA1,HLA-DMA,SYNGR2,MS4A6A,CD9,TREM2,C1QA,CCL3,VAMP5,MS4A6A,EREG,VIM,IL1RL1,SH3BGRL3,LST1,COTL1,ALOX5AP
WDFY4,CD1C,LSP1,HLA-DQA1,HLA-DRB5,APOC1,RGS1,PPP1R15A,CXCL10,MS4A4A,CXCL2,MARCO,KIT,CSTA,TXNIP,RPS19,IRF7
PPA1,GSN,DAPP1,CTSD,CEBPD,HLA-DQB1,C1QC,OLR1,TMSB10,LYVE1,IER3,FTH1,GATA2,S100A10,S100A4,FCN1,PLD4
LSP1,CLEC10A,IL2RG,HLA-DPA1,LYZ,HLA-DRB1,HERPUD1,HLA-DRA,PSMB9,STAB1,BCL2A1,CXCL3,ALOX5AP,TSPO,ATP5E,IFITM3,PTPRCAP
IDO1,HLA-DRB5,NUB1,CTSB,MS4A6A,A2M,CCL4L2,ICAM1,STAT1,DAB2,TIMP1,CXCL8,LTC4S,RPLP1,RPL28,WARS,PLP2
HLA-DPB1,FCGR2B,PPA1,FTL,FN1,NPC2,HLA-DRB5,SOD2,GBP5,F13A1,LYZ,ALDOA,SLC18A2,LGALS2,MT-ND3,CFP,PPP1R14B
MZT2A,CD1E,CD74,APOC1,PLAUR,CD9,C1QB,NFKBIA,SOD2,CD74,FCN1,CCL20,CD9,CFP,S100A6,STXBP2,TCF4
TXN,PLD4,GPR157,CD14,CAPG,HLA-DQA1,IER3,CCL3L3,UBE2L6,GADD45B,G0S2,APOC1,MALAT1,CLEC4E,LYZ,MTSS1,APP
CNN2,HLA-DMB,UBD,HLA-DQB1,BTG1,CTSD,CD83,TNF,PPA1,VSIG4,PPIF,TREM1,RAC2,SLC11A1,RPS21,CFD,CLIC3
RAB7B,RNASE6,CST7,PLD3,AREG,HLA-DMA,GADD45B,GPR84,CD63,SLCO2B1,AQP9,CYP27A1,BACE2,CSF3R,IFITM3,PECAM1,C1orf186
RGS10,PKIB,IL32,HLA-DPB1,RPLP0,CTSB,HLA-DMB,FCGR2A,EPSTI1,HLA-DRA,CD44,FTL,VIM,SERPINA1,RPS13,S100A4,SERPINF1
HLA-DRB1,PPA1,GPX4,PLTP,LSP1,CD68,CEBPD,CCL4L2,LY6E,HLA-DRB1,KDM6B,FCGR2B,C1orf186,RPS13,KLF2,AIF1,SPCS1
HLA-DPA1,GPR183,IDO1,LGMN,TREM2,RGS1,NFKBIA,SOCS3,IFITM1,A2M,NFKBIA,EREG,HDC,H3F3A,AC090498.1,CD48,UGCG
TACSTD2,CTSH,HINT1,HLA-DRA,CST3,CD63,CCL3L3,PTGS2,IFI35,LGMN,SRGN,S100A10,LMNA,FPR1,RPS24,CTSS,PLAC8
HLA-DOB,RGS1,GRSF1,HLA-DMA,HLA-DQB1,HLA-DMB,CCL4,MIR155HG,ATF5,HLA-DPB1,SLC2A3,CXCL2,MAOB,RPL28,RPS29,CORO1A,IRF4
UCP2,ALOX5AP,CSF2RA,CD68,C5AR1,CAPG,PPP1R15A,TNFAIP3,TAP1,GPX1,FTH1,ANGPTL4,CD82,CD36,SH3BGRL3,PILRA,HSP90B1
CYB5R3,HMGN1,ALDH2,FOLR2,IER3,GSN,PLD4,CLEC5A,SERPING1,MS4A7,S100A6,OLR1,LAPTM4A,RPL39,RPS27,TCF7L2,DERL3
CST3,SPINT2,STK4,CREG1,RPS2,C3,ITM2B,G0S2,IDO1,GPR34,NLRP3,TIMP1,PTGS1,CTSS,RPL32,FGR,SELL
CADM1,CST7,DUSP5,FCGR2A,GPR183,AKR1B1,MS4A6A,CD40,IL4I1,SLC40A1,SAMSN1,SLC16A10,CAPG,COTL1,RPS8,CYTIP,MZB1
CD74,CST3,CLIC2,SEPP1,SERPINA1,YWHAH,IL1B,IL1A,SERPINA1,JUN,ATP2B1,CD63,CD69,RPS28,RPLP2,ICAM2,CXCR3
TAGLN2,NDRG2,RFTN1,GPX1,GPX4,PLD4,ZFP36,IL1RN,S100A11,FCGR2A,CCL20,AQP9,LAT,RPL35A,RPS12,HES4,IGKC
