Yue 2020 - Classical A (Signature 1),Yue 2020 - Classical B (Signature 6),Yue 2020 - Basal A (Signature 2),Yue 2020 - Basal B (Signature 10)
CYP2C18,MEP1A,FAT2,FOXJ1
RP11-400G3.5,GUCY2C,MIR205HG,DRC1
VSIG2,SPINK4,S100A9,CCDC114
SLC9B2,MUC2,S100A2,C7orf57
ANXA10,GALNT8,S100A8,CFAP54
CAPN8,ITLN1,KRT5,VWA3A
VILL,CHST5,SLC2A9,RARRES3
CLDN18,CDH17,RHCG,CFAP73
SULT1C2,FAM105A,TP63,C11orf70
CYSTM1,SI,ZNF750,CFAP45
CTSE,REG4,KRT6A,ZBBX
ADAM28,RP11-77K12.7,KRT14,CST6
VSIG1,CLCA1,PTHLH,CFAP43
CYP3A5,HEPACAM2,TMEM45A,C15orf52
CAPN5,GPA33,COL7A1,RSPH4A
CYP2S1,CDX2,TNNT3,MAPK15
KCNE3,WNK4,TMPRSS11E,FAM81B
CYP2C9,BTNL3,ARL4D,PPIL6
GCKR,KRT20,SCPEP1,KRT80
TSPAN8,CLRN3,HCAR2,DAW1
ACER2,C3orf70,GSDMC,CDHR4
SEMA4G,REP15,TMEM40,VGLL1
PDZD3,FCGBP,CYP24A1,MAATS1
TMC5,FAM222A,IL20RB,ZMYND10
DPCR1,AKR1C4,GJB6,ELFN2
IQGAP2,SLC6A7,LPAR3,CERKL
EPS8L3,PHGR1,HCAR3,C9orf116
NR1I2,KLHL32,GPR87,CASC1
MUC17,SEPP1,ZNF385A,MAK
FER1L6,AGR2,CLEC2B,PLA2G16
LRRC66,GMDS,FYB,DRC7
GATA6,ADGRG7,COL4A6,BATF2
CAPN9,FFAR4,PPP4R4,DNAI1
POF1B,CCL15-CCL14,LCP1,RSPH1
HTR1B,ATP8A1,LYPD3,MFI2
IHH,SLC17A4,ANXA8,ARMC3
MTMR11,JPH1,TNC,LY75
SLC6A20,PDE3B,SNAI2,CCDC173
OMP,GRIP2,FST,TMEM169
PLA2G10,B4GALNT2,ANXA8L1,CCDC103
SPINK1,HES6,AIM2,GINS2
KIAA1211,MGAM2,LY6D,PRR29
TRIM54,WNK2,TCF7L1,KLK6
FAM101A,RNF186,KRT13,TCTEX1D2
BCL2L15,MYO7B,CLCA4,CDA
TNFRSF11A,GNA14,CAV1,RAB36
RAPGEFL1,HEPH,MMP13,ANKRD1
MYRF,RP11-234B24.6,GBP6,MMP7
PLAC8,MUC13,SRGAP3,CFAP206
PIP5K1B,ANG,CSTA,CFAP157
PLCE1,A1CF,COL4A5,TTC25
AKR1B10,VIL1,ADRB2,MYBL1
SLC26A5,TFF3,PKP1,DCBLD2
SLC9A2,DACH1,A4GALT,ALPP
FA2H,TRPA1,DENND2C,NRP2
ST6GALNAC1,BTNL8,KRT6C,EFHC2
BCAS1,CLDN3,TGM1,TTLL9
AC021218.2,LRRC75A,FSCN1,HRASLS2
MLPH,FABP1,ST6GALNAC2,ENKUR
PELI2,TOX,CAPNS2,CFAP57
CA2,ATP2A3,GJB2,VSTM2L
CYP2C19,ANXA13,KRT15,OAS2
LYZ,PRUNE2,PADI3,CFAP70
DYNC2H1,MYRFL,NIPAL4,AMIGO2
SLC9A4,MYO1A,ACKR3,PIFO
SLC40A1,CCL15,IL1A,DKK1
PDE11A,GFRA1,KLC3,TGM2
AGR3,MYB,A2ML1,CKLF-CMTM1
USH1C,KLK1,PTPN13,CTC-236F12.4
GPX2,AGMAT,CNTNAP3,LRRC46
APOBEC1,ME1,TLR2,MLF1
ARL14,GPRIN3,FAM126A,LRRIQ1
HHLA2,CHN2,EDARADD,PHACTR3
MYOM1,FOXA2,KRT4,DNAAF3
SLC1A1,HMGCS2,ANKRD65,E2F7
PTPRR,FAR2,TNFRSF18,DNAH7
PRSS12,LRRIQ4,KRT17,C2orf54
C12orf75,RAP1GAP,RHOV,NMU
CA14,MOGAT3,RAB38,TNNI2
FMO5,SLC39A5,BASP1,SPAG8
HNF4A,ACPP,SLC1A3,WDR63
SGK2,VIPR1,MCC,MNS1
ONECUT3,FRMD3,MT2A,FRMD5
RP11-314N13.10,NOX1,MT1X,ANXA9
MUC3A,TPH1,NGFR,C9orf24
RNF128,CBFA2T3,PYGL,SLC4A11
NPC1L1,TM4SF20,CAPN14,IFIT1
HSD17B2,NCR3LG1,CD109,L1CAM
CYP4F12,IL23R,HS6ST1,WNT10A
ERN2,CHP2,C9orf84,CFAP61
SULT1B1,BCL2L14,SCNN1G,DMBX1
AC106876.2,MYRIP,MTSS1,TTC16
CREB3L1,HOXB13,HES2,CCDC74B
TSPAN1,DLL4,IFITM10,KCNH3
TMEM38A,RP11-26J3.4,TP73,KRT86
TM4SF5,TLDC2,SLC37A2,TMEM139
ASPHD2,PROX1,IQCJ-SCHIP1,ZNF474
POU2F3,CRACR2A,BTBD11,KLK10
PCSK5,CASP5,KLHDC7B,HCAR1
SMPD3,FAM3D,RNASE7,ZBP1
BAIAP2L2,PLA2G4F,MYO3B,BIRC3
DUOX2,DNAJC12,S100A3,DNAAF1
NOSTRIN,C4BPB,P2RY6,AQP6
MTMR8,CEACAM5,EYA1,PMAIP1
AOC1,SIDT1,FLG,CRIP2
HNF4G,TAS2R38,ARHGAP23,SLC2A6
LGALS4,MYCL,DNAH17,KLK8
ACKR4,ENTPD8,TGM5,MYOM3
SHH,DGAT2,NTF4,KLK7
TESC,OTC,ADGRE2,CLDN9
CA9,RNF32,ERVMER34-1,CCL18
NR3C2,CYP3A4,SCNN1B,MORN3
COLCA2,HGD,SNCG,CHRNA5
KPNA7,ATP2C2,ALDH3B2,TEKT2
SCIN,FEZF1,PALMD,SAMD9L
CEACAM6,NOS2,APOBEC3A,C15orf62
GPR160,SLC27A2,NOD2,CSF2
MUC1,RP11-903H12.5,SLC31A2,MRPS17
RP11-162P23.2,CXXC4,PLCH2,LRRC34
TRIM31,CTD-2026G6.3,SRPX2,RRAD
C6orf222,RP11-420N3.3,MME,DNAH6
TMEM37,CCL24,CRABP2,SPTBN5
AATK,XK,PRSS27,RIBC2
DEGS2,PARM1,TOX2,SH3TC2
CDHR5,KIAA1257,CACHD1,CDKL2
SLC44A4,CGNL1,CDH26,TMIE
PLCH1,ARHGEF26,THBD,IFITM1
ANKS4B,RAB26,PLAU,IFI44L
PRR15L,PGM5,ADA,BDNF
TFF1,HMCN2,CH17-335B8.4,AK8
SDR16C5,LGI2,TG,RP11-347C12.3
C4orf19,TNFRSF11B,ANXA1,RHEBL1
FOXA3,DLL1,DSG3,SKAP1
SMIM6,FAM84A,SLPI,LCA5L
CEMIP,CCRL2,CYP4B1,IFNE
MUC5AC,MOGAT2,TIAM1,UNC5A
C2orf72,CD244,GCLM,IFI44
GIPC2,MUC12,APOBEC3G,KLHDC7A
DUOXA2,VNN1,PTGES,DCDC1
RASAL1,C2,PTX3,FOSL1
GATA4,TINAG,MAPK12,C2orf81
CATSPERB,SCUBE1,DFNA5,SYT8
POU5F1,STK31,CNTNAP3B,PBK
KCNH8,RASL11A,BCL11A,LRRN1
XKR9,E2F2,EMP1,KRT23
CCDC183,GFI1,DAPL1,ERP27
ARHGEF38,NWD2,BAALC,BST2
SGPP2,GAS2,IRX3,UBXN10
NPSR1,PKHD1L1,ST8SIA1,MALL
C6orf223,MAP2K6,PDCD1LG2,TTC23L
GPRC5B,RP11-187E13.1,OVOS2,TRIM59
IL7,ARL9,RAET1G,NXNL2
GULP1,PLCB1,SERPINB4,DTHD1
LGR5,POTEI,FAM83A,EPHX4
MSLN,CHRM3,ADORA2B,HRASLS5
IL1R2,HECW2,TNIP3,PGM5P2
KITLG,SLC1A7,SLC7A5,LRRC73
PLLP,HOXA4,MAPK10,RP11-1223D19.3
ATP7B,YBX2,TMEM132A,EFHB
LRRC31,UGT1A8,CYP4X1,FPR2
MGAT3,C1orf226,ULBP2,MX1
GCNT3,PDE10A,DNAH11,RP11-302B13.5
TMEM45B,DSG1,AQP3,EDAR
UGT8,SLAIN1,CAMK1D,CMPK2
FAM177B,DAPK2,ATP8B3,C16orf54
PRR26,DPP4,KRT6B,TNNI3
FKBP1B,RP11-723O4.6,UPK3B,IGKV1OR2-108
SOX21,SPDEF,HSF2BP,HYDIN
CCDC68,RAB37,ALDH1A3,RASAL2-AS1
TMEM163,CDIP1,MAPK11,VAV1
IYD,CCNI2,ESPN,C8orf31
LINC01559,CPS1,IL12RB2,DYX1C1
TOX3,PTGES3L-AARSD1,SPOCK3,C15orf48
ZC3H12B,DLGAP1,TENM2,C11orf63
GOLM1,AKAP5,FABP5,MTAP
RP11-74C1.4,TLL2,NXN,DGKG
UGT1A10,CTD-2021H9.3,CPA4,CFP
RP11-563J2.3,PCK1,CTSV,HMSD
BEND7,C2orf70,KCNG1,DNAH3
ONECUT2,LRP4,MAF,KIAA1549L
PLEKHH2,RP11-150O12.6,SEMA3F,CMTM2
RNF39,WISP3,IL34,MIA-RAB4B
C2orf16,OFCC1,DNER,VSIG10L
CLCN1,HOXA2,FBXO27,FSIP1
MRAP2,EYS,MCTP1,THAP10
CDHR2,USP41,CHI3L2,RSAD2
RP13-726E6.2,RPGRIP1,EYA2,PCDH7
FSIP2,B4GALT6,SPRR1B,TRIM36
RNF183,GRIN2B,VSNL1,ACTBL2
B3GALT5,COL28A1,SLITRK6,HERC5
C8orf49,ST6GALNAC3,P2RY2,FLRT3
GRAMD1B,TERT,STOM,RAMP1
TRIM15,FGF13,SAA1,FAM86B1
COLGALT2,HSPA2,ABCA4,ENDOU
PSORS1C1,MFSD2A,KRT16,ACBD7
C2orf88,HOXA10,AKR1C2,AP1S2
AGBL1,TRPM2,TLR6,FAM86B2
FUT3,COCH,RAET1E,OXTR
MKRN2OS,GRIN2D,STARD5,PPP1R1C
CNNM1,TDRD5,KRT81,TRPV4
UST,SLC7A11,LRFN1,FBXO24
UGT1A9,,WNT7B,RP11-385D13.1
SAMD13,,RIMBP3B,TMEM265
CHST4,,ETNK2,RP11-303E16.8
TFF2,,NRG1,F3
NR0B2,,TGFBI,ZNF385C
HPGD,,TNNT1,CTRL
IL22RA1,,MARK1,
PDZK1IP1,,FAM225A,
PLA2G4A,,ATP6V0A4,
FGD5,,RDX,
PROM1,,FIGN,
RP11-510N19.5,,FBXO17,
VWA3B,,SAA2,
ZNF69,,CD1A,
BMP4,,PANX2,
TBX15,,FJX1,
MYZAP,,CH17-360D5.2,
ADGRF1,,ICAM5,
ICOSLG,,PSTPIP2,
HNF1A,,DGCR6,
TM4SF4,,GJB5,
ATP10B,,SLCO1B3,
ANKRD36C,,TPD52L1,
SELPLG,,CGB7,
SFTA2,,LDLRAD3,
TRIM10,,KLHL13,
GSTM3,,CLEC2D,
TMPRSS3,,HSPB1,
SLC6A14,,CDH3,
SLC16A1,,TMPRSS13,
ZDHHC2,,FANCB,
HAVCR1,,FHOD3,
IGSF9B,,ANKK1,
PIK3C2G,,IL31RA,
CIDEC,,FAM127C,
IL17RB,,NKX3-1,
PGC,,CD209,
MMEL1,,SLCO1B7,
ANKRD29,,GRIP1,
INSC,,NETO2,
ANO7,,PARVB,
SLC26A9,,CYP26B1,
CMBL,,HMGA2,
HYAL1,,ANKRD33B,
S1PR4,,ABCA12,
PNMA2,,ELF5,
CAPN13,,SLC22A4,
UGT1A4,,TBX1,
KY,,MAMDC2,
SYTL5,,H19,
AGMO,,PFN2,
CEACAM18,,EPHB2,
FERMT3,,PROM2,
CCDC153,,GPNMB,
B3GNT7,,SAA2-SAA4,
PRSS3,,RIMBP3,
S100P,,DSC3,
ZNF488,,KCNMB4,
CARNS1,,MMP10,
LEXM,,CHST15,
UGT1A5,,TRIM6,
UGT1A7,,MUC21,
SLAMF6,,FSTL4,
PDE4C,,RNF217,
UGT1A3,,PLEKHF1,
ZC4H2,,KYNU,
BCO1,,SERPINB3,
GALNT5,,IL27RA,
MMP28,,GGH,
SLC10A5,,ALG1L,
TAC3,,HSPB8,
IL1RN,,CCL22,
FUT9,,EGF,
UGT1A6,,VWDE,
UGT1A1,,LPA,
LINC00282,,C17orf53,
PTGIS,,RP11-545J16.1,
MIA2,,CERS4,
RAB27B,,GALNT18,
SEMA3B,,TMEM156,
STX19,,VAV3,
RP11-563J2.2,,CBX2,
AK7,,TFAP2C,
C11orf86,,FAM46B,
PNPLA3,,PLTP,
POC1B-GALNT4,,FGFR3,
CD24,,LYNX1,
AQP5,,C5AR2,
RBM44,,ADSSL1,
ALDOC,,EME1,
DQX1,,CD207,
ANK1,,PDZD2,
TMEM133,,PACSIN3,
RNF133,,SCHIP1,
IL2RG,,EREG,
CRYM,,POTEE,
ZNF662,,PHGDH,
FAM169B,,MPZL2,
FOXH1,,RAG1,
RP11-982M15.6,,RYR1,
EDN1,,SLC10A6,
MROH7,,NOX5,
MUC20,,SYNM,
KBTBD12,,SMCO2,
TIMD4,,ITGA2B,
BTBD16,,IL1B,
AP006285.2,,C12orf60,
VSTM5,,ADARB1,
FNDC4,,KRT79,
CKMT2,,EVA1A,
C2orf15,,SEMA5B,
TNNC1,,SNCAIP,
C8orf4,,SOX7,
CXCL5,,KCNJ2,
PRKCG,,TREM1,
PIWIL2,,RYR3,
GDPD2,,ZIC2,
GREB1L,,C18orf54,
EIF4EBP3,,DYNC1I1,
OR2A7,,ANGPTL4,
GABRP,,SEMA3A,
CFAP46,,CHST7,
FCHO1,,LOXL4,
P3H2,,CYP27C1,
ESYT3,,IGSF10,
ADAMTS9,,GPR155,
PKDREJ,,CHST2,
NRG4,,PIK3R3,
DRD1,,PI3,
BANK1,,RP11-618G20.1,
C11orf91,,XG,
WBP2NL,,HAP1,
MYEOV,,KCNIP3,
IL20RA,,HAS3,
BATF,,SLC16A14,
UPK1B,,FGFBP1,
MGAM,,C11orf45,
,,CTD-2135J3.4,
,,PGF,
,,FAAP24,
,,TPRXL,
,,CD163L1,
,,CLEC5A,
,,B3GNT4,
,,XDH,
,,SHC4,
,,CCDC190,
,,ADIRF-AS1,
,,HACD1,
,,SVOPL,
,,TUBB6,
,,SMPX,
,,SOX2,
,,CP,
,,FLJ22447,
,,GNLY,
,,CNTNAP2,
,,SIX4,
,,NDRG1,
,,MED12L,
,,MROH2A,
,,GPR19,
,,LRP2,
,,FBXO48,
,,G0S2,
,,PRODH,
,,SLC39A8,
,,PPP2R2C,
,,JPH2,
,,CFAP58,
,,SIGLEC12,
,,BPI,
,,RNF165,
,,STC2,
,,CHST6,
,,LAMP3,
,,FBXO39,
,,MAB21L3,
,,RP11-295K3.1,
,,ZIC5,
,,PTPRZ1,
,,LAG3,
,,FOXD1,
,,SYT7,
,,NBPF26,
,,PAK6,
,,MMP12,
,,AC024592.12,
,,GNAI1,
,,ZP3,
,,RP11-382A20.3,
,,ALOXE3,
,,PRKCQ,
,,ADAM23,
,,AKR1C1,
,,NT5M,
,,FAM212B,
,,GS1-259H13.2,
,,WNT9A,
,,TRIM6-TRIM34,
,,CORO6,
,,ACVR1C,
,,PCDHGA1,
,,ARSJ,
,,XKRX,
,,SDK2,
,,CSNK2A3,
,,KLK13,
,,ABCA13,
,,WNT5B,
,,PHEX,
,,GPLD1,
,,CXCL6,
,,RFESD,
,,POTEF,
,,ADGRL3,
,,PLA2G4E,
,,TRIM73,
,,SPRR1A,
,,UPK3BL,
,,SIX1,
,,ADM,
,,GPR75-ASB3,
,,LY6K,
,,BMPR1B,
,,GPR37,
,,TAS2R46,
,,SHROOM2,
,,FBXO15,
,,AC253572.1,
,,IL10,
,,DMKN,
,,PIK3R3,
,,IBSP,
,,KDM4D,
,,ST20,
,,CTD-2105E13.6,
,,CTC-435M10.3,
,,GATSL3,
,,KCNS3,
,,GOLGA8M,
,,FAM169A,
,,OPRL1,
,,NDUFA4L2,
,,ANKRD20A2,
,,FGF11,
